,text,emotions,score
32,"Our trust employs people as contractors so we were not eligible for the wage subsidy, and because we kept them on they didn't qualify for it as contractors. So we slipped through the cracks and got no government assistance.",neutral,0.9891336560249329
33,"There is not enough informed commentary about the generosity of donors in the past two months, easily compared to the same period last year for perspective. Highlighting organisations overly dependent on public events or gaming trusts is a skew and not reflective of the bigger picture. While economic downturns have most often led to a reduction in giving for some organisations, cherry picking bad news stories and speculating about donor behaviour is unhelpful for the whole sector and leads to very poor decisions by for-purpose organisations and the public.",disappointment,0.5906177163124084
34,the level of innovation and excitement for change has stimulated what could be a crowded domain. we need to create the forums and relationships that can enable to good stuff to be recognized and the new priorities to be addressed. We do not want to find ourselves returning to old troubles.,realization,0.5035167336463928
35,We appreciate and need our funding from our community funders and hope this will continue - we know it will be a hard time for them too though,realization,0.7460300922393799
36,The community sector needs to be brought together and stop the competing nature for funding. There are many valuable support services being offered by some really small agencies and if there is no support for them from other agencies the community suffer,approval,0.9646068811416626
37,Organisations like ours have a lot to offer in times of crisis and economic downturn. We are heartened by having a government who have budgeted for adult and community learning but also worried as we aren't eligible for traditional government funding. We hope that we are able to access resource to allow us to give all we have to give.,optimism,0.9770298004150391
38,"Support the idea of sector-wide leadership and finding resources in one place, along with opportunities/ideas for collaborating through a network or overarching organisation for the sector! Charities Services and Community Net, and other organisations, have some good resources but I have found they lack some of the key things we've been looking for at this time. Also advocacy. I have felt during COVID that charities have been left behind in a lot of things - we weren't sure at first whether the wage subsidy would cover us, a lot of support has been for small businesses (which is great) but charities aren't eligible. When I've looked at other countries' responses, support for charities seems to be more wide-ranging - government and other funders simply using criteria of if your services have been impacted or if your funding has been reduced due to COVID you can apply, and you can apply for overheads/salaries not just project costs. I know some funders have done this here but for the most part we have found the funding routes for us are the same, there aren't any new routes that have opened or widened to allow us to apply. Instead we're trying to get more creative with our fundraising through corporates and donors.",admiration,0.8902080655097961
39,Thank you,gratitude,0.9954187870025635
40,No,disapproval,0.907338559627533
41,Skills sharing across all age groups isn't viable so long as there is risk to the skilled older people. This has been a small group of women who do craft. It has operated for about fifteen years teaching and skill sharing for all ages. Six to twelve year olds and young mothers have been the main cohorts. The impetus to continue is disappearing fast as time goes by and there seems to be no end to the risks of close contact for we older people. There is no money involved at any time as all materials and equipment are donated then shared.,realization,0.9405346512794495
42,The sector can be a leader in rebuilding NZ Inc. We must have a united innovative voice that shows people are to the foremost & the 'economy' is there to support our well-being.,neutral,0.3892746865749359
43,"The budgeting service sector has long struggled to remain open due to 60% funding cuts in 2016. We have relied heavily on outside funders to support our organization, which all takes time to apply and take away from seeing clients that desperately need financial assistance and education.",sadness,0.8836597204208374
44,The wage subsidy provided great support for us and our staff.,admiration,0.9083883166313171
45,"Online availability of various webinars and special interest discussions from the likes of Philanthropy NZ, FINZ and Charities Services has been a valuable opportunity.",approval,0.5741353631019592
46,There needs to be more funding available for new charities etc instead of being given an answer of duplicating services and refusal of funding the funders need to go and speak personally to them and see the work they are doing first hand. Facts and figures do not always tell the story of the work they are accomplishing.,neutral,0.9319881200790405
47,"For 20 years I have been working in Digital Inclusion and empowerment education. COVID-19 made the rest of the world wake up to what I have been bleating on about for decades. Suddenly schools were closed so the digital divide suddenly became recognised. People are finally aware of the importance of getting devices, education and internet connections to low-income communities.",realization,0.991078794002533
48,"Lucky to be in NZ, thankful for government support, we are small and will adapt as needs be",gratitude,0.9525512456893921
49,No,disapproval,0.907338559627533
50,No,disapproval,0.907338559627533
51,It's really important that the experience of the community sector is heard in decision making in order for it to have the biggest difference. Yes we need to focus on business - but it can't be the only focus.,realization,0.3584959805011749
52,We have really appreciated - the contact from our current funders regarding opportunity to be flexible in application of our grants and offers of opportunity for discussion. That has probably had the biggest positive impact on stress levels! - the easy application for COVID grant from MSD was really helpful in addressing emergency needs of our clients,admiration,0.9909391403198242
53,pleased when we can get back to normal!!!!,joy,0.9739214181900024
54,COVID gave us the opportunity to update our procedures and other back office issues that cannot normally be addressed due to insufficient paid hours. This has been a huge benefit moving forward.,approval,0.9859829545021057
55,So grateful to you for addressing this.,gratitude,0.9932951331138611
56,"Uncertainty over funding makes sustainability and continuity much more difficult. It is difficult for future planning, development and strategic thinking when we are just making do to survive each year if we can.",nervousness,0.5824243426322937
57,Compliance cost in terms of time and money is becoming a burden. We are running a charitable trust and are not treated with any trust in doing our service to the community. Over regulated in proportion to what we raise in funding,disapproval,0.9766870737075806
58,Just looking forward to getting back to meeting regularly and having social time together as well as fundraising for other charities and serving our community,approval,0.640341579914093
59,Commending Sport Southland on their role with help and communication throughout this tricky period,approval,0.9016732573509216
60,"Ethnic Communities are reluctant to seek support in comparison to non ethnic communities. Some have suffered in silence, with families and children as well. This is not good for the well-being of any society, especially our minority Pasifika community with a perception of ""she will be right"" attitudes. There is an identity crisis in our community and we need support in this area.",disapproval,0.47416502237319946
61,A big thank you to our funders.,gratitude,0.9957231283187866
62,"I think the lessons we have learned during this period of pandemic influenced reality need to be considered as we move forward to economic recovery. How do we insulate ourselves or minimise the impact of social disruption in the future. In terms of how we responded and of how the people we have been working with have coped with the pressures, I believe that their confidence and the skills they have developed since they have been with Koha Kai have given them much greater resilience than we have observed in other people with similar life challenges. It reinforces the value of the kaupapa we are involved in.",realization,0.6341051459312439
63,The community is wider than community organisations and NGOs. Local initiatives that involve a wider group of stakeholders will be important in the next phase. Te Tiriti O Waitangi informed approach will be critical - a resource to support innovation.,approval,0.9695316553115845
64,I think government great on support for organisations that directly help with essential food and accommodation but smaller groups relying on visitor donations for general well-being and particularly environmental education are being ignored for support but still have on-going costs and need to be there for post recovery or else we go backwards on keeping NZ green and beautiful,admiration,0.9814845323562622
65,no,disapproval,0.9473873376846313
66,"I will always advocate for the importance of funding for the arts. The sustainability of arts organisations can have a hugely positive impact on our society and sense of community. As we prepare the next generation to compete and lead in a global society, it is imperative that we continue to fund the arts. Some may say that arts funding is a waste - I completely disagree. Arts funding is one of the most important functions and duties of our society. It is through the arts where we grow, where we reach understanding, and where we find common ground in a rapidly changing complex world. Artistic imagination and creativity are not added bonuses for society, they’re not the icing on the cake, they are integral to the human spirit and to human aspirations – an essential part of what makes us human. Art thinks about the world in its current state, and it can reimagine the world as it could be.",disapproval,0.6759504675865173
67,"Delighted that this survey is happening and I do hope you get good pan Third Sector representation. From this crisis I would like to see: 1) a better model for supply of grant money (eg, no pokies, more representative decision making, devolution of power dynamic between funder and fundee) 2) a better model for demand of money (eg, both grant and private money going to organisations who work best practice, show they are learning organisations, demonstrate that they achieve results, not just flash marketing campaigns) and improvements in cost to serve (better use of online tools and information to lower the end to end cost to serve).",optimism,0.9348172545433044
68,"My organisation focuses on helping new migrants and refugees through social services, advocacy and support for their positive integration, involvement and contribution to the community. We hope that COVID 19 pandemic will come to an end so we can all serve New Zealand, the country we all love and cherish.",caring,0.49980369210243225
69,Government funding to charities such as ours would be hugely beneficial so we can focus on the core business of supporting kids and whanau,approval,0.990978479385376
70,This survey was a bit lengthy,neutral,0.9734601378440857
71,How to get better advocacy for small community based organisations.,neutral,0.6420300602912903
72,"The flowering of online arts, free to audiences and service users during the pandemic, may set a precedent. People are already reluctant to pay for access to music etc - it seems even more challenging now for musicians and artists to make a living.",approval,0.8738635778427124
73,"no I am privileged because I feel so grateful to be finally mortgage free, and I am able to take care of myself at 73 years of age.",gratitude,0.622315526008606
74,It was so reassuring to receive emails from Trusts that were there to support our cause.,approval,0.9868033528327942
75,"Community and working together including remotely vital, staying ahead and thinking outside the box to develop solutions with limited resources.",approval,0.7479262351989746
76,"Our sport has always been under the shadow of an organisation that only cares about Olympic medals but not the sport that winds them. The current situation has highlighted that our sport is seen as a separate activity, we need to capitalise on that and establish an independent future",realization,0.9339613318443298
77,I have been amazed by the number of people who have offered help and support for us to keep going,surprise,0.990295946598053
78,Good to see that mankind can consider people more important than the dollar for a change! Hopefully people will continue to be kind to others.,optimism,0.994387686252594
79,We keep hoping that the government will recognise the situation that many community groups are starting to face of being cash-strapped at a time when need is rising. Our experience of high unemployment and economic restructuring in the 1990's tells us that it will be communities which will be hit hard and yet there is much that can be done by community groups to develop community-led responses provided there is access to appropriate funding.,optimism,0.9047616720199585
80,"Help! Government have assisted the Sports and Recreation community, what about the community services. We know that some large community organisations that have Government contracts are been supported, but what about the small community organisation. With the Government support to Sports and Recreations, will this mean that Pub Charities can focus more on funding community need in the interim rather than Sports?",neutral,0.5906884670257568
81,No,disapproval,0.907338559627533
82,no,disapproval,0.9473873376846313
83,No,disapproval,0.907338559627533
84,This survey unfortunately does not allow going back to check responses.,neutral,0.8691744804382324
85,It would be helpful for funders to give clear indicators if they change there finding priorities. Please don’t encourage funder to only fund a few select organisation as has be a noticeable pattern. It leaves small but important organisations like ours very vulnerable.,caring,0.5485610961914062
86,non-for-profits are particularly vulnerable organisations and should have assessments to ensure they are receiving adequate support from the government/community,neutral,0.5313072204589844
87,"A supportive, visionary and regulatory aware leadership style is required.",approval,0.8903837203979492
88,The volunteer centre's and Volunteering NZ networking and sharing over this time has been very valuable,approval,0.9686855673789978
89,The questionnaire extensively covered all areas.,neutral,0.589975118637085
90,"Just that our club members were wonderfully diligent, from the moment COVID restrictions were introduced.",admiration,0.9941125512123108
91,No,disapproval,0.907338559627533
92,No,disapproval,0.907338559627533
93,It has been a real good learning curve for us all and to see what is available for students. Domestic students had elements of support and as for our international students it was very difficult obtaining funding support etc.,admiration,0.9340031147003174
94,"Great survey, looking forward to seeing the results.",admiration,0.9725631475448608
95,No.,disapproval,0.8623088002204895
96,There are opportunities in the volunteering space - are we ready to engage!,approval,0.9344589114189148
97,No,disapproval,0.907338559627533
98,Many of our members are aged in their late 80's and 90's and I think have all coped wonderfully well - with family and good neighbourly support.,admiration,0.9009822607040405
99,Look to the future and learn from the past.,optimism,0.9905129075050354
100,"Local government funding, support and partnership has been a vital part of many charitable organisation's income and service provision. With significant cuts to local government expenditure, many charities will struggle to survive without alternative sources of income.",sadness,0.45914945006370544
101,"This is a time to encourage more generosity - of time and money and general kindness. This will be needed to sustain the ""team of 5m"" concept so we can all go forward together through uncertain times. And maybe we can build a fairer, kinder, more sustainable Aotearoa too!",approval,0.8091117739677429
102,We need a central voice advocating for us to government.,approval,0.8893276453018188
103,"We have no debts, and all of our assets have been bought with cash. Our outgoings are virtually related to operations so we can cover them. What we are not seeing is progress.",realization,0.8743568062782288
104,We are fortunate to have reserves but looking forward I fear for charities such as ours,fear,0.987646222114563
105,"Initially I would have liked to see our volunteering crew re-deployed to other positions, but I've come to understand that most volunteers were happy to 'enjoy' their lockdown. It was in the unlocking, that I would have like to see more action more quickly. In any case, it is alright. This is a very special time for many reasons.",joy,0.9516149163246155
106,No,disapproval,0.907338559627533
107,"We really hope the Government will provide some wage subsidy for an organisation like ours - we haven't yet had our income affected, but we're certain it will be in the next 12 months",optimism,0.9906044602394104
108,"We thank God that no matter what, we stand together in prayer and support one another despite this deadly virus COVID-19. Thank you all for all your love and support. We appreciate it.🙏🙏🙏💗💗❤️😇😇👏👏👏👏👏👏",admiration,0.7288809418678284
109,Thanks. I hope you will share the results of this survey and how the information will be used.,gratitude,0.9978106617927551
110,Improved access to disability supports and funding,approval,0.9762775301933289
111,We are impressed by the number of people/organisations who have made contributions like we have.,surprise,0.3074933886528015
112,Community Trust South and its staff do a wonderful job .,admiration,0.9904621243476868
113,Big thanks to our region,gratitude,0.993630588054657
114,There were other external stressors in process before lockdown,neutral,0.998129665851593
115,No,disapproval,0.907338559627533
116,no,disapproval,0.9473873376846313
117,"Groups who have wages to pay, must find it difficult. If we had paid staff we couldn't carry on. Our government funding was withdrawn three years ago, the reason given was that insufficient of our clients were Maori or Pasifika. Fortunately our local funders stepped up and we are very grateful for that.",gratitude,0.9426976442337036
118,How do we not fall back to old ways of operating and continue to hold energy for the change and challenges of doing and thinking differently.,curiosity,0.7725047469139099
119,I think we need to opportunity to serve a wider cross section of our community because we have a new cohort of community need from those who have not previously needed support. Also we need flexibility with our funding so we can use funds for COVID related responses.,approval,0.9874935746192932
120,The government response to COVID 19 infections management and to the financial impact have been phenomenal.,admiration,0.9770268797874451
121,"Community connection as neighbours, strangers, family and friends has been really important and to see people out walking and cycling together and taking time for each other is vital. To care for those who are isolated, under stress, anxious in simple ways walking alongside people is vital and everyone can be involved in some small way.",approval,0.9916583895683289
122,Thank you for the opportunity to respond,gratitude,0.9913697242736816
123,It is very early days - the road ahead is not clear and likely to be full of twists and turns,realization,0.5089718103408813
124,Our group is part of a bigger group and do this does not reflect the overall group issues - it’s mainly our smaller volunteer group - main office pays staff but out in communities it’s mainly volunteers- these are who have been giving their whole lives and now in the risk groups,neutral,0.6240411996841431
125,Thanks for this opportunity to share,gratitude,0.9954198598861694
126,Kia Kaha,neutral,0.7801458239555359
127,I think the country would have found it difficult to have coped so well without our voluntary organisations.,disappointment,0.2656551003456116
128,no,disapproval,0.9473873376846313
129,"Thanks for doing the survey I completed this on behalf of our region's pet club, monthly walk coordinator",gratitude,0.9913076758384705
130,"Let's hope this pandemic is not wasted, and we all in this sector use it to create positive change!",optimism,0.9953296184539795
131,Grateful to be working so purposefully in these unprecedented and changing times.,admiration,0.7706322073936462
132,Great community spirit in NZ and excellent government leadership informed by science - hope it will be focused on the 'slow emergency' of climate change next,admiration,0.8862568140029907
133,Thanks for the opportunity to share and learn together from this remarkable time,gratitude,0.7280009388923645
134,Our community is absolutely amazing. So many organisations really stepped up to the mark and did everything humanly possible to support their local community or constituency. It was our privilege to help to support them with C19-specific funding.,admiration,0.9956450462341309
135,"We hope, since it is a rainy day for operational funding, that we will look at making operational grants easier for small NGOs that cater for a great range of sectors and diversity in this community. There we can excel. We do it on the smell of an oily rag and have no we funding for a few years now - it became difficult.",optimism,0.9707182049751282
136,"I think there should be a collective push for the Government to provide funding to Gaming Trusts to distribute to charities, equal to their average grants. This could be for 6 to 12 months.",approval,0.5263158679008484
137,nil,neutral,0.9881731867790222
138,It is important to work through this as a community,approval,0.5803083777427673
139,I am disappointed that there has been absolutely no recognition of the importance of the volunteer contribution to our economy at this time. They appear to be ignored yet we could not operate without them.,disappointment,0.962906002998352
140,Thank you for your time and support.,gratitude,0.9937739372253418
141,Thanks for taking the time to ask these questions.,gratitude,0.9945406317710876
142,"As a very small organisation, Approx 100 members, we are now looking at where we can access grants and new fundraising ideas",neutral,0.6382439136505127
143,I think we will see flow-on effects as we move out of lockdown and the reality of demoralising job-losses strike the community. At the moment it is all new.,realization,0.5921639204025269
144,No,disapproval,0.907338559627533
145,Government and other support for charities needs to be aimed strategically not just at immediate needs eg are food parcels healthy or will they create habits and health issues in the future. Also I think the government has missed an opportunity to establish social enterprises that in the long term will assist in funding the good work being done,confusion,0.4150027632713318
146,Concern that a number of regional sporting organisations are in difficult positions in the next 6 months,neutral,0.8607661128044128
147,To the higher beings - you must learn to trust communities. We know our own!,realization,0.6159282922744751
148,There is going to need to be on going Government assistance using the $20 billion reserve fund for the provision of essential social services in New Zealand.,neutral,0.9403768181800842
149,funders usually only give for a service of the moment. it is hard to get funding to prepare for major events like this i.e. when the pandemic hit we had no policies or governance around this and basically running around like headless chickens.,neutral,0.9534512162208557
150,"Thank you. Organisations need to have time, money and resourcing to innovate and collaborate. Typically, funding available does not enable this, except for the Working Together Fund.",gratitude,0.9746499061584473
151,No,disapproval,0.907338559627533
152,At this stage it is unsure if we will survive so managing staff Anxiety around that.,nervousness,0.8757825493812561
153,"This feels like it would have been good to answer these questions a number of weeks ago, we have got on in our community and worked on ways to move forward already",approval,0.8390744924545288
154,That the level of homelessness in NZ reduced to Nil so should continue hereafter,neutral,0.8691283464431763
155,No,disapproval,0.907338559627533
156,Committee meetings are so much more efficient online! Much better attendance too. Good way to do things.,admiration,0.9528123736381531
157,This is the view of one person and not all my team.,neutral,0.993075966835022
158,Everyone talks about well-being including me however the resources need to be made readily available and free to those who need it,caring,0.5658137798309326
159,"Leadership, leadership, leadership. Where is it? It's not our council, it's not DIA, it's not CNA - step up or get out the way.",anger,0.7183120250701904
160,"from these questions, I think you are hoping for larger groups - ours is only about 100 members",neutral,0.9755322933197021
161,The uncertainty of the whole COVID situation is very unsettling for all aspects of our organization. It's hard to insist on the level of involvement needed to sustain our project when people are struggling. This is what worries me for the future.,disappointment,0.8040874600410461
162,"Without the Government's speed in providing financial support for workers, we would have had to move to restructure almost immediately and with such a small staff base that could have meant winding-up the organisation. We are certainly not out of the woods yet and we face an uncertain roller-coaster ride between now and the end of the 2020/2021 financial year. Also, it would be great to share the results of this survey with our Governance and Local Board so if possible, please email us a set at completion.",fear,0.46111974120140076
163,-,neutral,0.9525675773620605
164,Many questions didn't relate to our gardens but it was a huge blow not being able to access them in level 4,disappointment,0.6118656992912292
165,We all need to slow our lives down and enjoy life more.,joy,0.9467745423316956
166,The voluntary sector needs serious financial support.,desire,0.36795857548713684
167,We just need to start rehearsals for shows to put on for our community.,approval,0.7927636504173279
168,Its tough working in isolation.,disappointment,0.9350762367248535
169,"We've had strong local leadership but a lack of direction from Civil Defence early on and now a lack of clarity about the long term recovery plan from government. Our two councils picked up the pace at very different levels which was frustrating at the outset - one had very strong leadership and a clear direction and the other took a while to get their plan together. Our involvement with Volunteering New Zealand and the Volunteer Centre network has been extremely valuable. The leadership, advice and sharing of information from them in twice weekly zooms has been extremely beneficial to the volunteer centres and strengthened our relationships not only now but going forward into the future. The opportunity to meet up so regularly I think benefited centres from all regions and of all sizes - with smaller centres feeling more supported and everyone having an opportunity to share resources, issues, learning and solve problems. Thanks to them and their team.",gratitude,0.4924493730068207
170,History will show who survives and who doesn't. As a history society who collects and maintains the history as it happens we need to keep going or it will be forgotten. We need financial support and advice on how to do this.,approval,0.8183521628379822
171,We may not have our annual show this year because of time restraints,neutral,0.45795053243637085
172,Organisations that have had reasonable IT resources have adapted more easily. Government has overlooked the sector when comes to relief packages we need to advocate better so this doesn't continue,approval,0.8850154280662537
173,We are being left hanging by our Council with no guarantee of funding or even a lease to occupy the building come 1st July 2020. Whole of government information has been clear and concise and feel that moving between levels has been handled really well. We just have to wait out the next 6 weeks or so to see where we stand and then start making some hard strategic and operational decisions.,approval,0.40194186568260193
174,No,disapproval,0.907338559627533
175,"If we had certainty around funding, I would say that COVID-19 has been the best thing that has ever happened to our organisation. Lockdown forced innovation upon a very change-resistant team and those who most resisted change in the past were those who drove innovation. However, innovations are no use if we cannot secure funding for our operational costs & wages in the coming months. We already operate on the ""smell of an oily rag"" so are unable to trim or adapt any further.",realization,0.8341212272644043
176,grant application support is really important. even working out where funding pots are,caring,0.470613956451416
177,"Assistance for small organisations like us as shared through this survey would he immensely helpful, thank you.",gratitude,0.9973233342170715
178,"We have financial reserves so will survive, but other organisations in the sector may not have sufficient reserves.",neutral,0.3509511947631836
179,Government wage subsidies were not able to be accessed as we did not have a great enough drop in funding or services. Emergency relief funding didn't seem to take this into account for charitable organisations who often have an increase in services and staff.,neutral,0.8614453077316284
180,no,disapproval,0.9473873376846313
181,"We must learn and move ahead from this experience, not settle back into old comfortable ways.",approval,0.7034388780593872
182,"As we provide support and advocacy for government and employment we believe our services will definitely increase as more people lose their jobs and will have to seek assistance from WINZ and their health, including mental health will be hugely affected.",caring,0.7604901790618896
183,Keep being positive and explore new ways to keep our organization strong.,caring,0.4418414235115051
184,Need to understand and respect Tikanga and Rangatiratanga on the same level of mainstream operators Acceptance that Tikanga can be safe and should be recognised not just enforcing mainstream approach,realization,0.6396588683128357
185,"WE only have one part time employee who is actually on contract, not wages, so the employee actually applied for the wages subsidy herself which took the financial pressure off her and off the organisation. Unbelievably a very experienced marketing expert has been assisting us to change to promote largely through social media and to help create a new COVID-response marketing video and help plan the marketing collateral as we start to move through the recovery phase.",surprise,0.9926872253417969
186,A move towards community hubs would be a great way to assist the variety of community organisations to meet the future needs of the community we serve both in a financial sense and also in a collaborative approach.,approval,0.9740146994590759
187,There needs to be a coordinated approach to ALL volunteer organisation that have been working in these areas already as there were many overnight organisation born yet we were under-utilised in some areas of our normal operations. Safety and well-being of our communities is business as usual for our organisation,approval,0.6390412449836731
188,"Our whānau really enjoyed the opportunity to engage with their rangatahi at home in most cases. We were concerned by the number of agencies who it seemed felt the need to use the Lockdown to enter into a helping competition and also in their haste to ""help"" actually started creating a service dependency amongst whānau who had up to that point been working well on creating their own future and taking care of themselves.",joy,0.9506876468658447
189,Awesome that Maori providers and communities took the initiatives they did to protect the vulnerable in our rural communities that were endorsed and supported by the government,admiration,0.9944688081741333
190,Maintaining communication links with older volunteers has been difficult. This has been one area that we feel we could improve especially as older volunteers may not have access or knowledge of how to use IT,realization,0.9344930052757263
191,We are very passionate about mental health and have lived experience. We would like to expand as there’s no peer support there.,caring,0.5588028430938721
192,Funding pathways to enable supporting those clients who fall through the gaps Guidance on the business side of having a business,neutral,0.8695605397224426
193,Thank you for the opportunity and consulting!,gratitude,0.992335855960846
194,It's been hard for Maori in rural areas - there's no public transport and many whanau are going without.,disappointment,0.48044252395629883
195,The overall resilience of people during this time was stunning. Our service was under significant pressure to met the emotional & psychological needs of whanau during this time while attending to their own and their whanau's needs. We are wondering how we can get them a break during the next few months because they certainly deserve it.,surprise,0.9750437140464783
196,no,disapproval,0.9473873376846313
197,"The NFP sector is agile and flexible, quickly achieving positive results on the ground. The modus operandi of Civil Defence is to push as much onto NFP organisations as possible in the name of ""building community resilience"". If they really want to build community resilience this needs to be commenced now and undertaken in a long term strategic manner.",approval,0.9552826285362244
198,thanks for asking,gratitude,0.9965131878852844
199,I actually enjoyed the peace and quiet of lockdown. I am appreciative and so proud of our MoH and government. Thank you for keeping us alive,admiration,0.6563850045204163
200,"Interpersonal relationships provide opportunities for learning and sharing ideas in our sport, and this has been missing, so we hope new participants haven't been discouraged from our sport.",optimism,0.9279212951660156
201,I think looking back and forward there are many services and voluntary works done by the community for the community that should be automatically funded. There are so many gaps in the social fabric where people are slipping through. That it seems easier at times just to get out there and plug the gaps and then work on models and funding and everything else later on when there is a break in the normal like the pandemic lockdown to really have a good rethink.,approval,0.7685166001319885
202,Thanks for the opportunity,gratitude,0.9949193596839905
203,There has been no support for groups who do not have employees or tax. Many charities have contractors and the rules have not been clear.,disapproval,0.9676534533500671
204,Thanks for the work you do,gratitude,0.9841700792312622
205,I would love to hope that we can rethink our normal and truly change our behaviour in order to achieve what we realised we valued at the start. Collective working being part of that. Focus on real life goals not monetary ones another.,love,0.8600350618362427
206,Though it was necessary to adopt COVID-19 measures the trickle-down effect for already lean mean volunteer groups is a really negative experience in that it is already hard enough to keep volunteers focused without added financial pressure hindering your work.,disapproval,0.46695607900619507
207,No,disapproval,0.907338559627533
208,"No, thank you.",gratitude,0.9979472756385803
209,We have survived unscathed.,sadness,0.43689727783203125
210,no,disapproval,0.9473873376846313
211,no,disapproval,0.9473873376846313
212,In the medium term community trusts and gambling venues will have quite a bit less funding to distribute,approval,0.6138749122619629
213,"Help - arts is CRUCIAL for well-being, social cohesion etc and yet is is not the PRIORITY for community funding for council etc - it needs to be!",neutral,0.29817038774490356
214,organisations must adopt a shared services model and approach to their business,approval,0.9580976963043213
215,The community sector is in desperate need of rationalization. Increase in governance and leadership capability is also critical.,approval,0.7990201115608215
216,40 volunteers in this group,neutral,0.9947754144668579
217,thank you for being awesome!,admiration,0.9364612102508545
218,No,disapproval,0.907338559627533
219,There has been far too much talk and far too little do. Governmental funding to train people to use a technology that they must use to interact with government has been non existent.,neutral,0.9920952916145325
220,Thank goodness we don't live in the UK or USA!,relief,0.9328998327255249
221,No,disapproval,0.907338559627533
222,The collaborative efforts of our sector and Government have made a real difference to our organisation's ability to keep operating. The Government's very early grant to our sector’s crisis organisations was profoundly reassuring. The leadership of our organisation was amazing for our sector as we all grappled with our 'new normal'. Māori organisations and Iwi also contributed amazingly to NZ's well-being and safety.,admiration,0.9957614541053772
223,Stop throwing funding at bottom of the cliff projects. Money needs to be spent on empowering people to do it themselves with pride.,anger,0.588445246219635
224,"The organisation wasn't prepared for this situation no Pandemic Plan, Business Continuity Plan etc. If the staff hadn't stepped up and utilised personal IT etc to work from home the business would not have functioned.",realization,0.8548815250396729
225,We all need to learn from this Pandemic. In the rush to get open again we do need space to collectively reflect. There are many at risk people and some community organisations feeling disconnected even now because they haven't been included in pre pandemic emergency plans.,approval,0.6489337086677551
226,"I'm so tired, and struggling to continue some days with the energy to continue with this work as I feel like it's just me hitting my head against a wall so much of the day. It's super frustrating. In my last ""role"", my income was $150,000 a year, now, we struggling to get funding for what we do let alone pay us for organising it. The change in support/belief from the private sector to non profit is mind blowing and frustrating.",anger,0.6156120896339417
227,Government departments should be more transparent on what is funded and by whom,approval,0.9539598822593689
