,Field,text,emotions,score
33,Can you please tell us your organisations current key priorities and or concerns,"Enriching lives to create a unified community that enhances individuals with their wellness, education and wellbeing",approval,0.9545485377311707
34,Can you please tell us your organisations current key priorities and or concerns,Our main vision is to empower people to make positive choices,approval,0.47964218258857727
35,Can you please tell us your organisations current key priorities and or concerns,Becoming a charitable Trust. 2022 NZ and international competitions 2024 or 25 bringing international competition to NZ,neutral,0.9780606627464294
36,Can you please tell us your organisations current key priorities and or concerns,"Community safety, keeping our rangatahi busy and out of trouble. Drug and alcohol abuse.",caring,0.812759280204773
37,Can you please tell us your organisations current key priorities and or concerns,No idea.,confusion,0.9933348894119263
38,Can you please tell us your organisations current key priorities and or concerns,Identifying potential sources for grant funding to maintain level of services for members,neutral,0.8937556147575378
39,Can you please tell us your organisations current key priorities and or concerns,Community collaboration and wellness,neutral,0.9890996813774109
40,Can you please tell us your organisations current key priorities and or concerns,Engaging volunteers,approval,0.6323445439338684
41,Can you please tell us your organisations current key priorities and or concerns,Working for Ōtautahi/Christchurch and its environs to be strongly sustainable ,neutral,0.7497913837432861
42,Can you please tell us your organisations current key priorities and or concerns,"Delivery and continued development of programmes. Upgrading our procedures, processes, and policies. Transitioning our digital systems to an integrated model. Fundraising for future delivery of project-based programmes",approval,0.9891067147254944
43,Can you please tell us your organisations current key priorities and or concerns,Funding to complete the project. Statutory recognition and protection of this branch of heritage.,approval,0.8198855519294739
44,Can you please tell us your organisations current key priorities and or concerns,We are in the process of saving a listed building and having it moved to our current site.,approval,0.733267605304718
45,Can you please tell us your organisations current key priorities and or concerns,"Improving our profile so we are a 'first port of call' to the community when help is needed, ensuring we provide services that meet our community's needs, opening a 'nearly open' additional facility",caring,0.579888641834259
46,Can you please tell us your organisations current key priorities and or concerns,Sufficient volunteer hours to meet deadlines ,neutral,0.4823375940322876
47,Can you please tell us your organisations current key priorities and or concerns,Enough sustainable funding to grow the services to enable us to meet community demand,neutral,0.953416109085083
48,Can you please tell us your organisations current key priorities and or concerns,Affordable housing,neutral,0.9804115295410156
49,Can you please tell us your organisations current key priorities and or concerns,Growing financial reserves and improving service to community ,approval,0.5181591510772705
50,Can you please tell us your organisations current key priorities and or concerns,Secure sustainable funding source,neutral,0.9884769916534424
51,Can you please tell us your organisations current key priorities and or concerns,"Financial costs of maintaining buildings urgently needing repair, 50% decrease in release of funds applied for, ",neutral,0.9483837485313416
52,Can you please tell us your organisations current key priorities and or concerns,Māori health and wellbeing ,neutral,0.9979658126831055
53,Can you please tell us your organisations current key priorities and or concerns,Financial stability to keep our operations costs covered,neutral,0.9920992851257324
54,Can you please tell us your organisations current key priorities and or concerns,Ensuring services for customers are available and delivered,neutral,0.9958578944206238
55,Can you please tell us your organisations current key priorities and or concerns,Empowering families to be self-reliance and prosper.,desire,0.8825528025627136
56,Can you please tell us your organisations current key priorities and or concerns,Health matters across the board . High concern is slow pace of getting Covid vaccinations into the community,sadness,0.3884322941303253
57,Can you please tell us your organisations current key priorities and or concerns,"Concerns are that there is a push to amalgamate/merge some orgs to become one, which makes sense on paper, but can be challenging for smaller Māori and Pasifika orgs who provide unique services. Simply merging will lose the key essence of how they work and the nuances that they have. Concerns that big organisations are hogging all of the big contracts and responses as they have all the flash marketing and staff to do their fundraising and coms etc, meanwhile the small orgs are doing it hard on the ground.",neutral,0.8194771409034729
58,Can you please tell us your organisations current key priorities and or concerns,Food security; food sovereignty; reducing greenhouse gases,neutral,0.9695547223091125
59,Can you please tell us your organisations current key priorities and or concerns,Funding and proving value/viability,neutral,0.9977472424507141
60,Can you please tell us your organisations current key priorities and or concerns,Developing a Better Business Case,neutral,0.5785316228866577
61,Can you please tell us your organisations current key priorities and or concerns,"Revenue and board As of last week, staffing",neutral,0.9969140291213989
62,Can you please tell us your organisations current key priorities and or concerns,"Revenue savings, staff salary reduction, working from home flexibility, future for Auckland",neutral,0.9209988713264465
63,Can you please tell us your organisations current key priorities and or concerns,Housing and lack of Emergency Housing options Digital Exclusion for our clients,neutral,0.9897251129150391
64,Can you please tell us your organisations current key priorities and or concerns,Focus on increasing engagement with youth and one identified region in our area that was difficult to engage with during COVID restrictions. Sustainable Long-term funding always an issue. Large workloads when all our staff are part-time. Concern re losing staff as they often end up working additional hours. Strengthening our Governance Team.,approval,0.5757476687431335
65,Can you please tell us your organisations current key priorities and or concerns,Website platform development,neutral,0.9968441724777222
66,Can you please tell us your organisations current key priorities and or concerns,Preparation for growth ,excitement,0.8676071166992188
67,Can you please tell us your organisations current key priorities and or concerns,Rangatahi is our key priority,approval,0.6172486543655396
68,Can you please tell us your organisations current key priorities and or concerns,Ensuring that organisations in our community have adequate volunteers,optimism,0.4490053951740265
69,Can you please tell us your organisations current key priorities and or concerns,Staying visible in our community so that those who would benefit from our service know where we are and feel comfortable coming.,approval,0.891587495803833
70,Can you please tell us your organisations current key priorities and or concerns,Keeping the Community engaged,approval,0.7007803320884705
71,Can you please tell us your organisations current key priorities and or concerns,Funding,neutral,0.8977287411689758
72,Can you please tell us your organisations current key priorities and or concerns,Reaching rangatahi through zoom Maintaining level of interest in education when it was not a priority for some whānau Ensuring our workers and volunteers are well and supported Ensuring good communication with all areas of our contract,approval,0.8479573726654053
73,Can you please tell us your organisations current key priorities and or concerns,Get more volunteers ,approval,0.7420536279678345
74,Can you please tell us your organisations current key priorities and or concerns,Support and development of our youth,neutral,0.9053844809532166
75,Can you please tell us your organisations current key priorities and or concerns,Staff and client safety.,neutral,0.995072066783905
76,Can you please tell us your organisations current key priorities and or concerns,Whanau well-being,neutral,0.8235058188438416
77,Can you please tell us your organisations current key priorities and or concerns,Supporting our volunteers through rising demand. Recruiting volunteers to leadership positions is difficult. Growing to meet demand,approval,0.894555389881134
78,Can you please tell us your organisations current key priorities and or concerns,Staffing ,neutral,0.9862254858016968
79,Can you please tell us your organisations current key priorities and or concerns,Engaging with more clients before they are in too deep - financial difficulties,neutral,0.6547738313674927
80,Can you please tell us your organisations current key priorities and or concerns,"Volunteer support, funding, Te Tiriti responsibilities ",neutral,0.9922218918800354
81,Can you please tell us your organisations current key priorities and or concerns,"Developing multi-purpose value proposition for funders, donors, etc. Establishing dialogue with other similar organisations Sustainable funding, including employment of a CEO Increasing volunteer numbers Finding a suitable new Chairperson",approval,0.5507783889770508
82,Can you please tell us your organisations current key priorities and or concerns,Valuing supporting connecting volunteers,approval,0.9940075874328613
83,Can you please tell us your organisations current key priorities and or concerns,Ongoing resources/funding with the establishment of Te Pukenga,neutral,0.9541410803794861
84,Can you please tell us your organisations current key priorities and or concerns,Keeping our festivals accessible to the public and providing an event that pays its own way as much as possible,approval,0.8122639656066895
85,Can you please tell us your organisations current key priorities and or concerns,Maintaining and caring for our current staff Increasing revenue Future proofing the current business Enhancing health and safety,caring,0.7958648204803467
86,Can you please tell us your organisations current key priorities and or concerns,Recycling and waste reduction,neutral,0.9302583336830139
87,Can you please tell us your organisations current key priorities and or concerns,We have only had volunteer referrals in two of our requested areas gardening and IT support,approval,0.8829373717308044
88,Can you please tell us your organisations current key priorities and or concerns,Providing social connections with other community member and raising funds to maintaining our asset,neutral,0.6170518398284912
89,Can you please tell us your organisations current key priorities and or concerns,Inclusivity Community safety Mental health ,neutral,0.9778122305870056
90,Can you please tell us your organisations current key priorities and or concerns,"Te tangata, Te tangata, Te tangata; both participants and staff",neutral,0.9969781637191772
91,Can you please tell us your organisations current key priorities and or concerns,"Ensuring system shifts that happened during Covid aren't totally lost and that central and local govt organisations remain proactively open to changing how they work with communities and what /how they invest and work as enablers. While politicians may want transformation, we're not seeing lots of examples of this in practice = bureaucracies are holding on to power and control. We want to join up with others working nationally in the systems change space so we're collectively maximising impact and effort.",approval,0.4736214578151703
92,Can you please tell us your organisations current key priorities and or concerns,"Supporting those with Disabilities at home in the community. Organizing family networks, fundraising engaging with other networks",neutral,0.8269128799438477
93,Can you please tell us your organisations current key priorities and or concerns,Ensuring that the mana of the people is upheld. That their concerns are addressed. That they are part of the decision-making process. ,neutral,0.9675348997116089
94,Can you please tell us your organisations current key priorities and or concerns,The health and wellbeing of those 50 years and over,neutral,0.9740524888038635
95,Can you please tell us your organisations current key priorities and or concerns,Being able to sufficiently resource the constant increasing need for support. And managing an increasing team which will continue to work remotely.,neutral,0.7462249994277954
96,Can you please tell us your organisations current key priorities and or concerns,Everything we do at Wai Ora comes from a community need. As we all know community needs are increasing due to more issues being created every year by higher populations happening so fast NZ is not keeping up with demand. Wai Ora has always focussed on the solutions and got on with it praying and believing the money side will catch up somewhere along the way. ,optimism,0.6734524965286255
97,Can you please tell us your organisations current key priorities and or concerns,Housing Food Relationships Mental Health ,neutral,0.997063934803009
98,Can you please tell us your organisations current key priorities and or concerns,Key priorities are finding ways to bring our community together to build stronger relationships.,approval,0.9902909398078918
99,Can you please tell us your organisations current key priorities and or concerns,Increasing our visitor numbers and maintaining our museum. Major concern is the aging of our volunteers!,caring,0.9834965467453003
100,Can you please tell us your organisations current key priorities and or concerns,"Workload & Funding for wages. We received a covid 19 wellbeing fund boost which doubled our staffing hours - but that's still not enough to meet demand/ workload. It was one-off so when it runs out, we are concerned we won't find enough funding to maintain event current (insufficient) hours. ",disapproval,0.7570609450340271
101,Can you please tell us your organisations current key priorities and or concerns,"Maintaining current and future service delivery to patients and their families, free of charge",neutral,0.5808665752410889
102,Can you please tell us your organisations current key priorities and or concerns,We have enough funds to continue paying for a coordinator,approval,0.8434618711471558
103,Can you please tell us your organisations current key priorities and or concerns,• Promote inclusion and celebration of diversity • Support of the New Zealand Migrant Settlement Strategy • Contribute to making New Zealand Te Tiriti based Multicultural Society • Support of migrants and their families in their respective communities ,desire,0.5995428562164307
104,Can you please tell us your organisations current key priorities and or concerns,Heavy workload/project delivery at current staffing levels. Securing sufficient funding to deliver projects fully.,neutral,0.6374133229255676
105,Can you please tell us your organisations current key priorities and or concerns,"Maintaining funding and staffing levels so that we can remain financially viable and grow to meet the needs of the community. We are very short-staffed but don't have the funding to employ more people. Our main funding source (Northland DHB contract) is in jeopardy due to the Nationalisation of the health service, and we struggle to obtain grants from other funders since, as a Community Foundation, we are considered a fundraiser.",neutral,0.6845109462738037
106,Can you please tell us your organisations current key priorities and or concerns,Maintaining the services required to fulfil the cultural needs or our iwi and hapū,desire,0.42219388484954834
107,Can you please tell us your organisations current key priorities and or concerns,Funding beyond June 2022 - raising funds to expand service levels ,neutral,0.5483459234237671
108,Can you please tell us your organisations current key priorities and or concerns,"Maintaining health and safety, increasing audit and paperwork.",neutral,0.7654274702072144
109,Can you please tell us your organisations current key priorities and or concerns,Ensuring provision of education to all members at all levels. Leveraging off the new liaisons and awareness of the organisation and its goals.,approval,0.9820241928100586
110,Can you please tell us your organisations current key priorities and or concerns,"Current priority is to keep a 50-year event alive after losing a huge volunteer base, enthusiastic committee, and funding due to a hiatus caused by the pandemic. Concerns are that momentum has been lost, we are in dire financial strife and the current climate isn't conducive to funders supporting, citizens volunteering for, a ""feel-good"" community event.",disappointment,0.6115317344665527
111,Can you please tell us your organisations current key priorities and or concerns,Getting our message out to the community ,neutral,0.9949913620948792
112,Can you please tell us your organisations current key priorities and or concerns,"Continuity of Services, improving our internal infrastructure and resources to respond to emerging needs, resourcing requests for support, service delivery and new programmes and projects. ",approval,0.7503337264060974
113,Can you please tell us your organisations current key priorities and or concerns,Having sufficient numbers of volunteers and trustees with the time and energy to carry out our functions well. ,admiration,0.9646482467651367
114,Can you please tell us your organisations current key priorities and or concerns,Building up the Community Gardens; providing and catering cultural activation for the demographic make-up of the Rohe.,neutral,0.9123058915138245
115,Can you please tell us your organisations current key priorities and or concerns,Housing,neutral,0.9860306978225708
116,Can you please tell us your organisations current key priorities and or concerns,That we continue to keep the current level and numbers of volunteers,admiration,0.9726791977882385
117,Can you please tell us your organisations current key priorities and or concerns,Competing for funding while delivering quality services,neutral,0.9505392909049988
118,Can you please tell us your organisations current key priorities and or concerns,Funding we are competing with many other organisations. Many funders are no longer giving as much money or have ceased to give funding and street appeals are becoming more challenging due to people no longer carrying cash. ,neutral,0.9550389051437378
119,Can you please tell us your organisations current key priorities and or concerns,Providing a transport service for those in need who are unable for whatever reason to attend medical appointments etc outside our area.,neutral,0.9721996188163757
120,Can you please tell us your organisations current key priorities and or concerns,Musicians have not performed for some time and to get them back performing.,neutral,0.9862631559371948
121,Can you please tell us your organisations current key priorities and or concerns,Kaumatua ( Elderly) Health needs Staff and their/our health and wellbeing understanding our communities/or organizations needs and wants,neutral,0.615840494632721
122,Can you please tell us your organisations current key priorities and or concerns,Funding is our biggest concern to maintain the level of service we provide. With increased demand we are stretched and staff volunteer more time than ever. We foresee a bleak future with funding meaning losing staff.,fear,0.7211076617240906
123,Can you please tell us your organisations current key priorities and or concerns,Weekly marae-based GP service for Māori,neutral,0.9809961318969727
124,Can you please tell us your organisations current key priorities and or concerns,Supporting social services in our community by providing space to work from,caring,0.8235880136489868
125,Can you please tell us your organisations current key priorities and or concerns,Funding - we are being challenged by one of our main funders because we are not a tangata whenua service. So even though our numbers are higher than the funder has estimated we are not getting any support to manage that - so the begging bowl is out and we have to go to the goodwill of the community to support us - but young people don't attract as much philanthropic funding as other things like hospice and cancer in this community,neutral,0.5912474989891052
126,Can you please tell us your organisations current key priorities and or concerns,Create employment opportunities for our whanau and develop skills and implement training and experience for our staff. Connect all staff to tikanga and te Taiao.,approval,0.6306198239326477
127,Can you please tell us your organisations current key priorities and or concerns,Lobbying the government to have better solutions for the homeless,neutral,0.6037804484367371
128,Can you please tell us your organisations current key priorities and or concerns,"Current key priorities - providing services such as meditations, counselling, life solutions, healing & food donations (in the form of sessions/ special events/ workshops). Concerns - not enough volunteers and inability of current volunteers to manage everything. Also, a lack of technical knowledge amongst current members who need training & support. Members of the public also require ongoing support after sessions and we find it challenging to provide support for everyone while balancing other responsibilities.",sadness,0.704872727394104
129,Can you please tell us your organisations current key priorities and or concerns,Manaaki our whanau anxious of getting Covid 19 that may spread in our community ,nervousness,0.9114362597465515
130,Can you please tell us your organisations current key priorities and or concerns,"Gaining funding for supply of uniforms, equipment & training so we can continue to serve our community",approval,0.9889417290687561
131,Can you please tell us your organisations current key priorities and or concerns,"Generating sufficient capacity as a Neighbourhood organisation, through training/skills development and developing robust relationships of trust within our Management Committee (also Operational).",approval,0.9582914113998413
132,Can you please tell us your organisations current key priorities and or concerns,Youth mental health Rural programming Raising funds,neutral,0.7191047072410583
133,Can you please tell us your organisations current key priorities and or concerns,Growing to do more work we will need to have staff / we can’t have volunteer always ,neutral,0.5362445712089539
134,Can you please tell us your organisations current key priorities and or concerns,"Building our capacity is our biggest concern. Our members could benefit from so many more opportunities and resources, but we struggle to facilitate these. ",caring,0.5047628283500671
135,Can you please tell us your organisations current key priorities and or concerns,New fundraising opportunities. How to fund impactfully in new environment.,confusion,0.9721015095710754
136,Can you please tell us your organisations current key priorities and or concerns,Funding of paid staff. We have gone from having no paid staff to 2 full timers to ensure we have business continuity through all alert levels as we are deemed an essential service ,neutral,0.6996238827705383
137,Can you please tell us your organisations current key priorities and or concerns,Providing help to the community,caring,0.6501411199569702
138,Can you please tell us your organisations current key priorities and or concerns,"Promoting and advocating for volunteers and volunteering. Encouraging people to continue volunteering, through different types of opportunities, through times of change and uncertainty.",approval,0.7004563808441162
139,Can you please tell us your organisations current key priorities and or concerns,"Have grants that we have applied for approved so that we can continue to operate, purchase equipment to attract new members.",approval,0.8663432598114014
140,Can you please tell us your organisations current key priorities and or concerns,"Continuation of services, ongoing funding to support staff , ups and downs of client’s attendance based on covid levels.",approval,0.9066341519355774
141,Can you please tell us your organisations current key priorities and or concerns,Meeting the demand from clients,neutral,0.875461757183075
142,Can you please tell us your organisations current key priorities and or concerns,Help local new Migrants in New Zealand ,caring,0.46050190925598145
143,Can you please tell us your organisations current key priorities and or concerns,Wellbeing of our ethnic communities is our key priority Concern is that government is not proactive with sharing valuable information which can help and support our ethnic community. ,sadness,0.93837970495224
144,Can you please tell us your organisations current key priorities and or concerns,Work/life balance,neutral,0.9973959922790527
145,Can you please tell us your organisations current key priorities and or concerns,Business as usual - continuing to do what we do well and to grow organically from that,admiration,0.6738511323928833
146,Can you please tell us your organisations current key priorities and or concerns,How to meet funding gap of expanding services,curiosity,0.8143541216850281
147,Can you please tell us your organisations current key priorities and or concerns,"Community gathering, events",neutral,0.9964411854743958
148,Can you please tell us your organisations current key priorities and or concerns,Key priorities are to keep vols safe and engaged with the museum; to attract more visitors and to seek and be awarded more grants,desire,0.9143463969230652
149,Can you please tell us your organisations current key priorities and or concerns,"Obtaining funding, building volunteer base, supporting volunteers we have.",neutral,0.9359413981437683
150,Can you please tell us your organisations current key priorities and or concerns,"Having enough volunteers to manage growth, and funding to pay for additional to support the growth.",approval,0.5879722833633423
151,Can you please tell us your organisations current key priorities and or concerns,We were able to benefit from Domestic Event Funding and through this injection of funds we were able to promote our festival really well. Now we are back to finding business sponsors and the climate isn’t that great for achieving more business funding. But we are a lean operation and will have to make the most of the budget we have and may have to use reserve funds.,disappointment,0.46591606736183167
152,Can you please tell us your organisations current key priorities and or concerns,Funding - finding the money to do the work.,neutral,0.9613676071166992
153,Can you please tell us your organisations current key priorities and or concerns,Raising our profile in the community. We have a new strategic plan and intend on developing our services we provide our organisations and how we communicate with our volunteers. Concerns we have are around future funding. Without multi funding opportunities we will struggle to maintain our services and potentially lose stuff to more financially stable employment.,approval,0.7575381398200989
154,Can you please tell us your organisations current key priorities and or concerns,Banking services being reduced further and cashless society promoted...we rely on donations from events which are primarily cash based. Maintaining continuity of our services to the communities we serve.,approval,0.9129605889320374
155,Can you please tell us your organisations current key priorities and or concerns,Suicide prevention alcohol harm reduction falls prevention,neutral,0.615935742855072
156,Can you please tell us your organisations current key priorities and or concerns,"Funding, training new Volunteers and a better venue ",approval,0.918965756893158
157,Can you please tell us your organisations current key priorities and or concerns,Community education to empower other groups to grow.,neutral,0.9857263565063477
158,Can you please tell us your organisations current key priorities and or concerns,"Development of business elements in response to extreme growth. E.g., IT, Health and Safety, Finance, Admin, Communications",neutral,0.9223294854164124
159,Can you please tell us your organisations current key priorities and or concerns,Concerns-higher needs in the community re: mental health and poverty that we don't have capacity to meet Key Priorities-to ensure staff are well supported to continue their excellent work in the community. ,neutral,0.7194480895996094
160,Can you please tell us your organisations current key priorities and or concerns,Long term funding I.T protection Younger volunteers,neutral,0.9954349398612976
161,Can you please tell us your organisations current key priorities and or concerns,Families of middle income are very stressed; Families of young children are disintegrating more often than in the past Families have no time or money for their children Teachers in early childhood charitable centres are poorly supported by government funding ,sadness,0.7734907269477844
162,Can you please tell us your organisations current key priorities and or concerns,No change - faith based,neutral,0.9216704964637756
163,Can you please tell us your organisations current key priorities and or concerns,Delivered contracted numbers and ensure that the quality of service is delivered.,neutral,0.9317919611930847
164,Can you please tell us your organisations current key priorities and or concerns,To ensure we continue to support our community in both individual and group programmes and activities,approval,0.9117216467857361
165,Can you please tell us your organisations current key priorities and or concerns,"Key Priority: Continuing to do our best for kiwi (the bird) locally, regionally and nationally. Key Concern: Staff turnover and induction of entities we work with - having to start relationships at the beginning time and time again. ",approval,0.43230339884757996
166,Can you please tell us your organisations current key priorities and or concerns,"Our concern is the lack of Ministry of Health funding through DHB which means we cannot increase our services, though we know there is a need to do so. We are also a bit nervous about the health restructure next year and how we will be placed in that. Post- Covid, we lost some volunteers and we do not seem able to attract more volunteers to support our work.",nervousness,0.6125554442405701
167,Can you please tell us your organisations current key priorities and or concerns,Finances,neutral,0.9983460903167725
168,Can you please tell us your organisations current key priorities and or concerns,More funding to better pay our staff and see more clients - pay equity!,approval,0.932026207447052
169,Can you please tell us your organisations current key priorities and or concerns,Ministry and community support,neutral,0.9951619505882263
170,Can you please tell us your organisations current key priorities and or concerns,Continuing support for our community and looking at how we share what we do. Ensuring equitable access to art and arts programming and the associated wellbeing outcomes. ,approval,0.9934263229370117
171,Can you please tell us your organisations current key priorities and or concerns,"Our major concern is sustainability. Particularly with Lotteries in which we have been advised that the multiyear contracts will no longer be provided and they were now reviewing the future of funding due to COVID 19. So, this presents our organisation with a very uncertain future. ",fear,0.8658041954040527
172,Can you please tell us your organisations current key priorities and or concerns,Finding & Employing quality Youth Workers to meet expanding need.,neutral,0.694577693939209
173,Can you please tell us your organisations current key priorities and or concerns,To grow our organization particularly now we have finally upgraded/upgrading our buildings. Delays because of quake issues,approval,0.9158384799957275
174,Can you please tell us your organisations current key priorities and or concerns,"To help, assist and support disabled members to stay informed and help them lead independent lives in the community",caring,0.9774879217147827
175,Can you please tell us your organisations current key priorities and or concerns,Developing skills and supplying equipment and clothing,neutral,0.8137661218643188
176,Can you please tell us your organisations current key priorities and or concerns,"Teaching seniors how to operate their tech, based on US model from the 1980s.",neutral,0.9724034070968628
177,Can you please tell us your organisations current key priorities and or concerns,"Recruitment of staff, review of budgets/staff salaries",neutral,0.5941545367240906
178,Can you please tell us your organisations current key priorities and or concerns,"Client and Mentor Success, Diversity, Brand Strength, Financial Sustainability, Strategic Partnerships and Service Evolution.",neutral,0.9983478784561157
179,Can you please tell us your organisations current key priorities and or concerns,Our key priority is continuation of the service to enable our clients to remain living independently in their own homes. To do this we require funding from grants to help our operating costs.,desire,0.8308128714561462
180,Can you please tell us your organisations current key priorities and or concerns,Funding opportunities and retention of membership,neutral,0.8589361310005188
181,Can you please tell us your organisations current key priorities and or concerns,To have an online presence which reaches as many people as possible,approval,0.694357693195343
182,Can you please tell us your organisations current key priorities and or concerns,Improving the mental and physical health of all senior members,neutral,0.4884320795536041
183,Can you please tell us your organisations current key priorities and or concerns,Funds to Purchase wool ,neutral,0.9971514344215393
184,Can you please tell us your organisations current key priorities and or concerns,"1. Funding - we are seeing some of our renewals at risk (started at the end of 2020) as organisation have financial issues or government agencies shift their funding to more ""front line"" Covid-19 services. 2. Team resilience as the regular changes in alert levels causes our team significant more work to reschedule events and experiences.",neutral,0.5826275944709778
185,Can you please tell us your organisations current key priorities and or concerns,Garaging,neutral,0.9957133531570435
186,Can you please tell us your organisations current key priorities and or concerns,Maintaining contact and support for all members and providing encouraging and helpful worship experiences,approval,0.721228301525116
187,Can you please tell us your organisations current key priorities and or concerns,"Paid work for restoration, predator control and food projects.",neutral,0.9962782263755798
188,Can you please tell us your organisations current key priorities and or concerns,Workload - Heavy reliance on one volunteer,neutral,0.9981049299240112
189,Can you please tell us your organisations current key priorities and or concerns,Staying viable,neutral,0.6410425305366516
190,Can you please tell us your organisations current key priorities and or concerns,"1. To upgrade our kitchen facilities so we can teach local whanau to grow, harvest, cook, preserve, share and retail excess vegetables and fruit, so next time there is a pandemic, whanau will be more resilient and capable of feeding themselves from their own backyards. 2. To create an archive of the history of the Trust's journey within the community to inspire and give hope to the next generation of future leaders. To provide opportunities for local whanau to acquire skills and knowledge to contribute to their local community and beyond. ",optimism,0.7625038027763367
191,Can you please tell us your organisations current key priorities and or concerns,Priority is to deliver an annual conference as we always have.,approval,0.4860074520111084
192,Can you please tell us your organisations current key priorities and or concerns,To continue to provide residential meditation courses to as many people as possible,approval,0.6096490025520325
193,Can you please tell us your organisations current key priorities and or concerns,How to continue to deliver group work in an environment where people have become wary of group activities/ staying home more.,confusion,0.8968003988265991
194,Can you please tell us your organisations current key priorities and or concerns,1) Finding volunteers to be treasurer and minute taker. 2) Finding a new bank that can handle community volunteer groups. Ours closed in our community in the last year and to make cash deposits now requires a lot of effort and a drive and battle for parking. Protecting our environment (streams and bush) from greenfield housing development. City Council committing to building new tracks for recreational walking and to felling wilding pines and macrocarpa which will become a hazard and costly expense to remove if not taken out now.,approval,0.5893623232841492
