row hash,your role recoded,orgtype: Charitable trust,orgtype: Incorporated society,orgtype: Voluntary organisation,orgtype: māori,orgtype: faith,orgtype: philanthropic,orgtype:other,paid staff,volunteers,income,service type,service type other,international?,region: All of Aotearoa New Zealand,region: All of North Island,region: All of South Island,region: Northland,region: Auckland,region: Waikato,region: Bay of Plenty,region: Gisborne,region: Hawke's Bay,region: Taranaki,region: Manawatu-Wanganui,region: Wellington,region: Tasman-Nelson-Marlborough,region: West Coast,region: Canterbury,region: Otago,region: Southland,ethnic: General (no ethnic-specific focus),ethnic: New Zealand European,ethnic: māori,ethnic: Samoan,ethnic: Cook Island Māori,ethnic: Tongan,ethnic: Niuean,ethnic: Chinese,ethnic: Indian,ethnic: MELA,ethnic: Other,revenue affect,lost revenue (est),Reduction Standardised,gained revenue (est),Increase standardised,service delivery affect,service delivery affect reasons,service delivery change,service delivery change description,funding reserve,challenges: Ensuring sufficient revenue to maintain viability,challenges: Being able to pay our staff,challenges: Changing our service provision to meet public health criteria,challenges: Meeting the needs of the people we support,challenges: Ensuring our staff and volunteers are well supported,challenges: Developing new service offerings,challenges: Loss of volunteers,challenges: Meeting the levels of work required,challenges: Other (please specify),opportunities: Increasing our volunteer base,opportunities: Improving our profile,opportunities: Greater appreciation for and recognition of our work,opportunities: New ways of connecting with funders and/or supporters,opportunities: Working closer with other organisations for a common good,opportunities: New ways of connecting with those using our services,opportunities: New service offerings,opportunities: Faster decision-making,opportunities: Longer contracts or funding agreements,opportunities: More flexibility in contracts or funding agreements,opportunities: Stronger sense of community or common values,opportunities: Increasing our funding,opportunities: Ability to move quickly,opportunities: Better business continuity planning,opportunities: Options around where and how we work,opportunities: Other (please specify),priorities and concerns,staff: Reduce staff numbers,staff: Reduce staff wages and salaries,staff: Reduce volunteer support,staff: Increase staff,staff: Increase volunteer support,staff: Not applicable,staff: Other (please specify),service delivery: Cut some services,service delivery: Seek new funding sources,service delivery: Deliver more remote online or phone services,service delivery: Develop new in-person service offerings,service delivery: Reduce service costs to users,service delivery: Increase service costs to users,service delivery: Change kaupapa,service delivery: Not applicable,service delivery: Other (please specify),support accessed: Government COVID-19 wage subsidy scheme,support accessed: Government COVID-19 small business cashflow loan scheme,support accessed: Other government funding responding to COVID-19,support accessed: New funding sources,support accessed: Voluntary support,support accessed: Donated goods and services,support accessed: Not applicable,support accessed: Other (please specify),other new ways,optimism,support needed: More volunteers,support needed: Advice on how you can operate within COVID-19 restrictions,support needed: HR support and advice,support needed: Digital technology,support needed: Legal obligations,support needed: Grant writing,support needed: Fundraising,support needed: Resources to manage volunteers,support needed: Governance,support needed: Leadership,support needed: Innovation and strategic advice,support needed: Marketing and communications,support needed: Other (please specify),sector changes: Collaboration between organisations,sector changes: Mergers of organisations,sector changes: Sector-wide leadership to provide voice and influence,sector changes: Strengthening financial and management knowledge/skills,sector changes: Strengthening governance knowledge/skills,sector changes: Access to information and data in one place,sector changes: Funding to cover salaries and operational costs,sector changes: Other (please specify),important learning,comments,share,"again: Yes, I am willing to be surveyed again","again: Yes, I am willing to be interviewed","again: Yes, I would like to see the survey results","again: No, I do not wish to be contacted"
094273cc289c87cd68464b1ff917b2cb0dc890a9,Other,0,0,0,0,0,0,Creative agency,1-5 staff,1-5 volunteers,"Under $125,000",Other (please specify),Public Art,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a small reduction in revenue (0-9% decline)",40000,"$40,000.00 ",,,We have had to make some small increases in our service delivery to respond to COVID-19,They underlying business is one that has been keenly sort since L2 meaning an increase in time working. Also we have developed a new outlet that also ads time to deliver,We have made some changes to how we deliver services because of COVID-19,As above... mainly through the new way of delivering from a new platform to reach our audience,We have sufficient funds to maintain staff and activity for two to three months,1,0,0,0,1,1,0,0,,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,,Our main income activity is in demand now but can be seen as a luxury so have concerns going forward regarding the developing economic outlook,,,,,,Not applicable,,,,Deliver more remote online or phone services,,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,"Our outward facing public art offering has transitioned reasonably successfully to online, that has a slightly altered focus engaging a far wider audience",6 Very confident,More volunteers,,,Digital technology,,Grant writing,Fundraising,,,,,Marketing and communications,,Collaboration between organisations,,Sector-wide leadership to provide voice and influence,Strengthening financial and management knowledge and skills in the sector,,Access to information and data in one place,,,He tangata he tangata he tangata...,,Yes,"Yes, I am willing to be surveyed again",,,
09bd0c152e53aaaa8b99c3d8390a56c6c6919e3c,Senior manager,1,0,0,0,0,0,,1-5 staff,11-20 volunteers,"Under $125,000",Community and social services,,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,"We have had, or expect to have, a very large reduction in revenue (decline of 50% or more)",,,,,We have had to substantially cut back on our services because of COVID-19,business closure,We have made major changes to how we deliver services because of COVID-19,Phone based - social-work advocacy,We have sufficient funds to maintain staff and activity for two to three months,1,1,1,1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,Volunteer recruitment/training & future sustainability.,Reduce staff numbers,Reduce staff wages and salaries,,,,,,Cut some services,Seek new funding sources,,,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,3 Slightly pessimistic,More volunteers,,,Digital technology,,Grant writing,Fundraising,Resources to manage volunteers,,,,,,,,,,Strengthening governance knowledge and skills in the sector,,Funding to cover salaries and operational costs,,staff & volunteer & client mental health well-being,,Yes,"Yes, I am willing to be surveyed again",,"Yes, I would like to see the survey results",
09e01260248c18879e3af223f7142e5994d377e0,Chief Executive or Executive Director,0,1,0,0,0,0,,21-50 staff,11-20 volunteers,$2 million to under $30 million,Health,,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)","$1,900,000 ","$1,900,000.00 ",,,We have had to make small cuts to our services because of COVID-19,We are not able to provide group activities such as camps and social gatherings due to the requirements of the Alert levels.,We have not made any changes to how we deliver services,,We have sufficient funds to maintain staff and activity for more than one year,1,0,1,0,0,1,0,0,,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,,,Reduce staff numbers,,,,,,Temporary reduction in working hours due to inability to meet contracted hours,,,,,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,6 Very confident,,,,,,,,,,,,,,Collaboration between organisations,Mergers of organisations,Sector-wide leadership to provide voice and influence,,Strengthening governance knowledge and skills in the sector,,,,,,Yes,"Yes, I am willing to be surveyed again",,,
09ea82fba9522f82737a9a2e254237196764258d,Chief Executive or Executive Director,0,1,0,0,0,0,,1-5 staff,1-5 volunteers,"Under $125,000",Family services,,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,"We have had, or expect to have, a moderate reduction in revenue (10-19% decline)",$5K,"$5,000.00 ",,,We have had to make moderate increases to our services because of COVID-19,Our clients and users have more complex needs due to the pandemic and we have had to adapt and expand accordingly.,We have made major changes to how we deliver services because of COVID-19,"All classes were moved to an online format with significant training required for our contractors. All support groups were moved online and again significant content change was required, including expansion of services and access.",We have sufficient funds to maintain staff and activity for two to three months,1,0,1,1,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,,Our main concern at the moment is the impact the situation has on our clients and the knock on effect that has for people continuing to attend our classes and support groups.,,,,Increase staff,,,,,Seek new funding sources,Deliver more remote online or phone services,,,,,,,,,,,,,Not applicable,,We are continuing to run online services alongside our phased return to face-to-face services.,6 Very confident,More volunteers,,,Digital technology,,,Fundraising,Resources to manage volunteers,,,,Marketing and communications,,,,Sector-wide leadership to provide voice and influence,,Strengthening governance knowledge and skills in the sector,,Funding to cover salaries and operational costs,,My most important learning during this time has been the importance of moving quickly and adapting services efficiently.,No thank you.,Yes,"Yes, I am willing to be surveyed again",,,
09fe608731faff40c191e7ec18493e69dc910a1f,Senior manager,1,0,0,0,0,0,,1-5 staff,6-10 volunteers,"Under $125,000",Other (please specify),Horticulture,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a moderate reduction in revenue (10-19% decline)","$3 ,000 - $4,000","$3,500.00 ",,,We have maintained services at the same level,,We have not made any changes to how we deliver services,,We have sufficient funds to maintain staff and activity for six to 12 months,1,0,0,0,0,0,0,0,Maintaining or growing membership levels,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,Not applicable,,,,,,,,,Not applicable,,,,,,,,Not applicable,,,6 Very confident,,,,,,,Fundraising,,Governance,,,,,,,Sector-wide leadership to provide voice and influence,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,,Funding to cover salaries and operational costs,,The need for flexibility,,Yes,,,"Yes, I would like to see the survey results",
0a1fccf2a066566f0ae0269dae09cf37e2bf6ffc,Board member/trustee,0,1,0,0,0,0,,No paid staff,21-50 volunteers,"Under $125,000",Sport and recreation,,We work only in Aotearoa New Zealand,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a moderate reduction in revenue (10-19% decline)","$10,000 ","$10,000.00 ",,,We have had to make moderate cuts to our services because of COVID-19,Gathering size regulations have limited our ability to provide services - not efficient to provide services to very small groups,We have made some changes to how we deliver services because of COVID-19,"Smaller groups for meetings etc, some groups not being able to operate at all under Levels 2-4, club-rooms not available so meetings/events needing to take place elsewhere",We have sufficient funds to maintain staff and activity for more than one year,1,0,1,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,Not applicable,,Cut some services,,,,Reduce service costs to users,,,,,,,,,,,Not applicable,,Committee meetings etc held via video conference,6 Very confident,,Advice on how you can operate within COVID-19 restrictions,,,,,,,,,Innovation and strategic advice,Marketing and communications,,,,,,,,,,,,Yes,"Yes, I am willing to be surveyed again",,"Yes, I would like to see the survey results",
0aa05a4f6fc2b5af97087edbd8bc9c2ef5c30fb8,Chief Executive or Executive Director,1,0,0,0,0,0,,No paid staff,6-10 volunteers,"$125,000 to under $2 million",Community and social services,,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a small increase in revenue (0-9% increase)",,,Very hard to estimate but maybe it could be $50k,"$50,000.00 ",We have had to make some small increases in our service delivery to respond to COVID-19,We saw an opportunity and we did it,We have not made any changes to how we deliver services,,We have sufficient funds to maintain staff and activity for more than one year,0,0,0,0,0,1,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,Not applicable,,,,,,,,,Not applicable,,,,,,,,Not applicable,,,6 Very confident,,,,Digital technology,,,,,,,Innovation and strategic advice,Marketing and communications,,Collaboration between organisations,,,,,Access to information and data in one place,,,We have an opportunity to work together more to build back better,,Yes,"Yes, I am willing to be surveyed again",,,
0af3fe555ea2b35dcd67310e1d6708fc1e4e775f,"Research, policy and data analysis",1,0,0,0,0,0,,21-50 staff,More than 50 volunteers,"$125,000 to under $2 million",,,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)",,,,,We have had to make small cuts to our services because of COVID-19,,We have made some changes to how we deliver services because of COVID-19,,We have sufficient funds to maintain staff and activity for six to 12 months,0,0,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,Seek new funding sources,,,,,,,,,,Other government funding responding to COVID-19,,,,,,,6 Very confident,,,,,,,,,,,,,,,,,,,Access to information and data in one place,Funding to cover salaries and operational costs,,,,Yes,,,"Yes, I would like to see the survey results",
0af4429ed45dc6f68f2f697d89b4ae571c076a4f,Board member/trustee,1,0,0,0,0,0,,1-5 staff,1-5 volunteers,"Under $125,000",,,We work only in Aotearoa New Zealand,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,I'm not sure,,,,,We have had to make moderate cuts to our services because of COVID-19,,We have made some changes to how we deliver services because of COVID-19,Mainly around social distancing,We have sufficient funds to maintain staff and activity for two to three months,1,1,0,1,1,0,1,0,,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,,,,,,,,Not applicable,,,,,,,,,Not applicable,,Government COVID-19 wage subsidy scheme,,,,,Donated goods and services,,,,5 Somewhat confident,More volunteers,,HR support and advice,Digital technology,,,Fundraising,,,,,Marketing and communications,,Collaboration between organisations,,,,,,Funding to cover salaries and operational costs,,,,Yes,"Yes, I am willing to be surveyed again",,,
0b0069eb8e09888c6543723a41779e07345b20b6,Chief Executive or Executive Director,1,1,0,0,0,0,,6-10 staff,More than 50 volunteers,"$125,000 to under $2 million",,,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)","$280,000 ","$280,000.00 ",,,We have had to make small cuts to our services because of COVID-19,"We work in the social equity space, providing services that have a long term benefit to communities. Our work only decreased slightly because we could travel during lockdown.",We have made major changes to how we deliver services because of COVID-19,"Our funding is challenged, presenting a 33% decrease in revenue next year with a four legacy due to the impact of COVID-19. We have had to significantly reduce our business model to reflect our future revenue.",We have sufficient funds to maintain staff and activity for four to five months,1,1,0,0,1,1,0,0,Being agile and nimble to adapt fast enough.,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,"New ways of doing our business, including collaboration.","Financial Sustainability, Excellence and Impact.",,,,,Increase volunteer support,,Increased ways of connecting.,Cut some services,Seek new funding sources,Deliver more remote online or phone services,,,,,,Changed to a new approach of delivering the impact we're seeking.,Government COVID-19 wage subsidy scheme,,,New funding sources,Voluntary support,,,,,6 Very confident,,,,Digital technology,,,Fundraising,Resources to manage volunteers,,,Innovation and strategic advice,Marketing and communications,,Collaboration between organisations,Mergers of organisations,,,,,Funding to cover salaries and operational costs,,"Take time to stop and think. Never waste a good crisis. You need to have a clear understanding of the cost of winding down, and have that money set aside. We don't have enough funds to wind down solvently (should we want to). We're very interested in exploring collaboration around strategic themes and not just operational opportunities - i.e back of house functions.","In a crisis, funding for those operating at the bottom of the cliff is easier than those working to deliver systemic change.",Yes,"Yes, I am willing to be surveyed again","Yes, I am willing to be interviewed","Yes, I would like to see the survey results",
0b319232b849fa0b7db7d006891a5f5c5157261f,Chief Executive or Executive Director,1,0,0,0,0,0,,6-10 staff,11-20 volunteers,"$125,000 to under $2 million",Other (please specify),Support and services to physically disabled youth,We work only in Aotearoa New Zealand,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a small reduction in revenue (0-9% decline)",40000,"$40,000.00 ",,,We have had to make some small increases in our service delivery to respond to COVID-19,We have reached out to our most vulnerable beneficiaries to offer support and information on a one to one basis during COVID 19,We have made minor changes to how we deliver services because of COVID-19,"Increased direct communication via phone, text and personal email to enable faster response and turnaround",We have sufficient funds to maintain staff and activity for more than one year,0,0,1,1,1,1,0,1,,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,,Expected increase in demand for our services and support - in particular for emergency funding of which we only have a set amount to distribute,,,Reduce volunteer support,,,,,Cut some services,,Deliver more remote online or phone services,,,,,,,,,,,,,Not applicable,,looking to continue some staff working some days remotely if they choose. Increasing our skills and training in use of more digital technology - in particular communication tools such as zoom,6 Very confident,,,HR support and advice,Digital technology,,,,,,Leadership,,,,Collaboration between organisations,Mergers of organisations,Sector-wide leadership to provide voice and influence,,,Access to information and data in one place,Funding to cover salaries and operational costs,,the need to understand and recognize the different ways COVID 19 has impacted our stakeholder groups - and act and communicate accordingly and compassionately - one size does not fit all,,Yes,"Yes, I am willing to be surveyed again",,,
0c2b09bda05ffc40b1790a42527cbb76d6f3095d,Chief Executive or Executive Director,1,0,1,0,0,0,,No paid staff,6-10 volunteers,"Under $125,000",Family services,,We work only in Aotearoa New Zealand,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, no change in revenue",,,,,,We have had to refocus our organisation.,,Changes of how to remain current in a lockdown environment. Changes to reflect the new needs of families.,We have sufficient funds to maintain staff and activity for up to one month,0,0,0,1,0,0,1,0,,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,,Resourcing and admin support.,,,,,,Not applicable,,,,,Develop new in-person service offerings,,,,,,,,Other government funding responding to COVID-19,,,,,,,6 Very confident,,,HR support and advice,Digital technology,,,,Resources to manage volunteers,,,Innovation and strategic advice,,,Collaboration between organisations,,Sector-wide leadership to provide voice and influence,,,Access to information and data in one place,Funding to cover salaries and operational costs,,People are not people without people.,,Yes,"Yes, I am willing to be surveyed again",,,
0c5e7ce7114d461457ab0d934e1aaafc28198bd8,Administration/Coordination,1,1,0,0,0,0,Not for profit,1-5 staff,11-20 volunteers,"Under $125,000",Pacific community development,,We work only in Aotearoa New Zealand,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,,I'm not sure,,,,,We have had to substantially cut back on our services because of COVID-19,We have an after school programme which consists of 10-20 students each week.,We have made some changes to how we deliver services because of COVID-19,Creating a online service for mentoring,I'm not sure,1,1,0,1,1,1,0,0,,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,,,,Reduce staff wages and salaries,,,,,,Cut some services,Seek new funding sources,Deliver more remote online or phone services,,,,,,,Government COVID-19 wage subsidy scheme,,Other government funding responding to COVID-19,,,Donated goods and services,,,,6 Very confident,More volunteers,,,Digital technology,,,,,,,Innovation and strategic advice,Marketing and communications,,Collaboration between organisations,,,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,,Funding to cover salaries and operational costs,,There is a need in the pacific community and especially around families,,Yes,,,"Yes, I would like to see the survey results",
0d0be7ee93428664ebb2139e658dbc834b845c09,Chair/President,1,0,0,0,0,0,,1-5 staff,6-10 volunteers,"Under $125,000","Culture, arts and heritage",,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,I'm not sure,,,,,We have had to substantially expand our services to respond to COVID-19,Our skills and services have been called upon as our community and sector have been hugely impacted,We have made some changes to how we deliver services because of COVID-19,More technology,We have sufficient funds to maintain staff and activity for up to one month,1,1,0,1,1,0,0,1,,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,We are currently working on a disruption plan,,,,,Increase volunteer support,,,,,,,,,,Not applicable,,,,,,Voluntary support,Donated goods and services,,,,6 Very confident,More volunteers,Advice on how you can operate within COVID-19 restrictions,,,,,,Resources to manage volunteers,,,,Marketing and communications,Funding,,,Sector-wide leadership to provide voice and influence,,,,Funding to cover salaries and operational costs,,That things can be more efficient,,Yes,"Yes, I am willing to be surveyed again",,,
0dd47c4616021edd66985b4bb392d30d3cacdabd,Financial manager,0,1,0,0,0,0,,No paid staff,1-5 volunteers,"Under $125,000",Sport and recreation,,We work only in Aotearoa New Zealand,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, no change in revenue",,,,,We have had to substantially cut back on our services because of COVID-19,We coach local Intermediate kids for the major sports event which itself is cancelled now.,We have made some changes to how we deliver services because of COVID-19,"We are just restarting club level play this week, but only a few adults have so far attended the club nights.",We have sufficient funds to maintain staff and activity for more than one year,0,0,0,0,0,0,0,0,We have not been charged for hall hire during lockdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Still getting back ""on our feet"", so don't know.",,,,,,,Not applicable,,,,,,,,,,We have had no alternative but stay home. All the Intermediate school age kids have lost the chance to play in this major sports event competition. (Major sports event cancelled for this year. ),,,,,,,,Money was not the issue. Competing in the event was the point.,No,5 Somewhat confident,,,,,,,,,,,,,We hope to get back to normal,,,,,,,,Prevent pandemics.,How to cope with staying home.,"Our major sports event was expected to bring about 11,000 kids total to our region this year. A huge financial loss to the city but the intermediate school kids will never have another chance at this competition. It is age limited.",Yes,,,,"No, I do not wish to be contacted"
0e2c682095a84807b40c302e28fb84a17142f565,Board member/trustee,0,0,1,0,0,1,"Sole trader contractor, and professional directors",1-5 staff,1-5 volunteers,"Under $125,000",Mental health,,We work both in and outside of Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,"We have had, or expect to have, a very large reduction in revenue (decline of 50% or more)",,,,,We have had to make moderate cuts to our services because of COVID-19,,We have made some changes to how we deliver services because of COVID-19,,We have sufficient funds to maintain staff and activity for up to one month,0,0,0,0,0,1,0,0,,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,,,,Reduce staff wages and salaries,,,,,,,Seek new funding sources,Deliver more remote online or phone services,,Reduce service costs to users,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,6 Very confident,,,HR support and advice,Digital technology,,Grant writing,,,Governance,,Innovation and strategic advice,,,Collaboration between organisations,Mergers of organisations,Sector-wide leadership to provide voice and influence,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,Access to information and data in one place,Funding to cover salaries and operational costs,,,,Yes,,,,"No, I do not wish to be contacted"
0e633dc9b33d10d7f2fbb32b9a4597c524777e54,Chief Executive or Executive Director,1,1,0,0,0,0,,6-10 staff,More than 50 volunteers,"$125,000 to under $2 million","Iwi, marae and Maori development",,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)","50,000","$50,000.00 ",,,We have had to make moderate increases to our services because of COVID-19,An increase in the provision of kai and other material support for whanau as part of the COVID-19 Recovery Plan,We have made some changes to how we deliver services because of COVID-19,No service delivery/cultural events during Levels 4 & 3. Partial service delivery in Level 2. Modified tangi to be determined for Level 1. Some Tikanga has had to change,I'm not sure,1,1,0,1,1,0,0,1,,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,,"Keeping our marae viable, & staff employed, as we anticipate reduced usage in the short term, if not longer. Supporting/empowering our Maori community depending on their needs. Concern re our contracts which expire June 30 & currently have not been renewed.",,Reduce staff wages and salaries,,,,,,,Seek new funding sources,Deliver more remote online or phone services,Develop new in-person service offerings,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,6 Very confident,,,,,Legal obligations,,Fundraising,,,,Innovation and strategic advice,Marketing and communications,,Collaboration between organisations,,Sector-wide leadership to provide voice and influence,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,Access to information and data in one place,Funding to cover salaries and operational costs,,Keeping in touch with (& seeing) staff and Board during lockdown,As a team we were impressed the resilience of the majority of our whanau.,Yes,"Yes, I am willing to be surveyed again",,"Yes, I would like to see the survey results",
0e9004f632dd0c0ce235c7c24e59cb119f2dc1e7,Chair/President,0,0,0,0,0,0,Sports club,No paid staff,1-5 volunteers,"Under $125,000",Sport and recreation,,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a very large reduction in revenue (decline of 50% or more)",,,,,We have had to substantially cut back on our services because of COVID-19,Close courts. Cancel coaching programmes. Cancel competitions,We have made major changes to how we deliver services because of COVID-19,"We could not operate under level 4. We opened some courts under level 3 but with a booking system, and only to some members",We have sufficient funds to maintain staff and activity for more than one year,0,0,0,0,0,0,0,0,Access to funding for court repairs,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,,Re- instating our coaching programmes And looking at more opportunities to offer play to our community. Biggest concern is access to funding.,,,,,,Not applicable,,Cut some services,,,,,,,,,,,Other government funding responding to COVID-19,,,,,,,6 Very confident,More volunteers,,,Digital technology,,,Fundraising,,,,,,,Collaboration between organisations,,,Strengthening financial and management knowledge and skills in the sector,Strengthening governance knowledge and skills in the sector,Access to information and data in one place,Funding to cover salaries and operational costs,,Being able to quickly adapt to changes and appreciating the ability of our senior players to adapt to the changes.,,Yes,"Yes, I am willing to be surveyed again",,,
0ea60632703a24a0247ddb88e292c98ea97f1dec,Senior manager,1,0,0,0,0,0,,1-5 staff,6-10 volunteers,"$125,000 to under $2 million","Culture, arts and heritage",,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, a large reduction in revenue (decline of 20% to 49%)","$100,000 ","$100,000.00 ",,,We have had to make moderate cuts to our services because of COVID-19,Reduced revenue.,We have made some changes to how we deliver services because of COVID-19,"Reduced staffing, reduces scope of services.",We have sufficient funds to maintain staff and activity for more than one year,1,0,0,0,0,1,0,0,,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,,,,Reduce staff wages and salaries,,,,,,Cut some services,Seek new funding sources,,,,,,,,Government COVID-19 wage subsidy scheme,,,,,,,,,6 Very confident,,Advice on how you can operate within COVID-19 restrictions,,,,,Fundraising,,,,Innovation and strategic advice,,,,,,,,Access to information and data in one place,Funding to cover salaries and operational costs,,,,Yes,"Yes, I am willing to be surveyed again",,,
0ec89be1ea41fab2e97e84e9e38500812f51298f,Chief Executive or Executive Director,0,0,0,0,0,0,School,11-20 staff,6-10 volunteers,"$125,000 to under $2 million",Education and research,,We work only in Aotearoa New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,,"We have had, or expect to have, no change in revenue",,,,,We have maintained services at the same level,Staff are employed- work must go on.,We have made minor changes to how we deliver services because of COVID-19,,We have sufficient funds to maintain staff and activity for six to 12 months,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,Not applicable,,,,,,,,,Not applicable,,,,,,,Donated goods and services,,,,6 Very confident,More volunteers,,,,,,,,,,,,,,,,,,,,,"Clear, brief messages for whanau",,Yes,"Yes, I am willing to be surveyed again",,,
0f1d5dbba1650b814d6688f385b306f979100187,Chief Executive or Executive Director,1,0,0,0,0,0,,1-5 staff,More than 50 volunteers,"$125,000 to under $2 million",Community and social services,,We work only in Aotearoa New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,"We have had, or expect to have, no change in revenue",,,,,We have had to make moderate increases to our services because of COVID-19,,We have made some changes to how we deliver services because of COVID-19,Online services,We have sufficient funds to maintain staff and activity for two to three months,1,1,0,1,0,1,0,1,,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,,Supporting our communities,,,,Increase staff,,,,,Seek new funding sources,,,,,,,,Government COVID-19 wage subsidy scheme,,,,,Donated goods and services,,,Online,4 Slightly confident,,,,Digital technology,,,Fundraising,,,,,Marketing and communications,,Collaboration between organisations,,,,,,Funding to cover salaries and operational costs,,,,Yes,,,,"No, I do not wish to be contacted"
