,Field,Text,sentiment,sentiment_group,subjectivity,subjectivity_group
42,priorities and concerns,"Will there be enough grants available for us to apply for? Will MSD, Corrections, have new contracts available that will be accessible to new providers or will they just go to existing providers in the community?",0.2412878787878788,Neutral,0.43068181818181817,More Objective
43,priorities and concerns,Maintaining a presence and funding,0.0,Neutral,0.0,More Objective
44,priorities and concerns,Nil,0.0,Neutral,0.0,More Objective
45,priorities and concerns,keeping in touch with the vulnerable people who are not IT savvy. keeping in touch with all to ensure the mental stress is diminished,-0.3,Neutral,0.35,More Objective
46,priorities and concerns,Finding funding to allow sport areas to assist in delivery of our programmes,0.0,Neutral,0.0,More Objective
47,priorities and concerns,the 2021 fair and ensuring we have a committee to run it,0.7,Positive,0.9,More Subjective
48,priorities and concerns,Funding,0.0,Neutral,0.0,More Objective
49,priorities and concerns,"Key concerns are: finding funding to pay wages so that we can maintain the knowledge of our admin team; follow through from our product donors, we pay for tests and some regions we don't have grant funding and so we lose the product; being able to provide better service to our recipient families by having enough donors for them so that they are not having to find product elsewhere.",0.25,Neutral,0.65625,More Subjective
50,priorities and concerns,"What funding is going to look like in 5,6,7 months down the track. Gaming grants were 25% of our income. We will now be competing against more organizations for a decreasing pool of funds.",0.17222222222222222,Neutral,0.3944444444444445,More Objective
51,priorities and concerns,"Funding, long term projects, safety obligations, loneliness and disconnection in our community",-0.05,Neutral,0.4,More Objective
52,priorities and concerns,Ascertaining what we need to shift and change as we move back our of the restrictions that becomes part of a new normal.,0.09545454545454546,Neutral,0.36818181818181817,More Objective
53,priorities and concerns,"We had planned new services, and research, to launch in the next 12months and had saved up enough to pay for this. Funds now have go to just operating our basic service. Estimate that COVID has set back our expansion plans 12-18 months.",0.02727272727272727,Neutral,0.2159090909090909,More Objective
54,priorities and concerns,"My priority is stabilising the organisation, generating new income streams, and growing the organisation.",0.13636363636363635,Neutral,0.45454545454545453,More Objective
55,priorities and concerns,Determining when it may be safe to return to physical workshops. rescheduling a ceremony that was to have happened on 2 April.,0.25,Neutral,0.3214285714285714,More Objective
56,priorities and concerns,funding for renovations that have been carried out,0.0,Neutral,0.0,More Objective
57,priorities and concerns,"Finding the gaps to those in desperate need. Collaborating with others in the community to meet these needs. Working with people/families to restore and move towards positive outcomes and hope for the future. We seek to empower the individual, whānau and the community",-0.09318181818181817,Neutral,0.5176136363636363,More Subjective
58,priorities and concerns,"We have a key role, with the sector, in building donor confidence that they can still effectively partner with effective and transparent organisations to achieve transformational impact where it is most needed. Additionally, trying help the public and donors understand where the very broad, wide and sometimes undefined role and response of Government begins and ends so that genuine need in the community is better understood.",0.28680555555555554,Neutral,0.5525462962962963,More Subjective
59,priorities and concerns,"1. we have become more tech oriented and want to built that up 2. we have many interests now in policy and innovation especially with ides that may benefit a post COVID world - changes in government policy, better social services, environment and climate initiatives and ways with new tech. the trick is getting them into places where they can have any impact or application because the scope of change has become highly invested and complicated.",0.16621212121212123,Neutral,0.5701515151515152,More Subjective
60,priorities and concerns,"We are waiting for our council to undertake promised work on what will become a community run resource recovery centre. This has been frequently delayed, again by the COVID crisis. Our main need at the moment is to inspire and bring our team back together with renewed energy, which has been dissipated over lockdown",0.08888888888888889,Neutral,0.2111111111111111,More Objective
61,priorities and concerns,had to cancel. will lose volunteers,0.0,Neutral,0.0,More Objective
62,priorities and concerns,Finding wages/salaries funding,0.0,Neutral,0.0,More Objective
63,priorities and concerns,Getting all our staff back to pre lockdown levels of work while being aware of the needs they have not only as staff but as people too as they have also been impacted not just our clients. Managing the extras of COVID-19 while managing what our service needs e.g. budget time. Funding worries - what funding particularly from our community funders will look like down the track. The work is going to grow so any reduction will be really hard and likely result in needing to reduce service delivery at a time we will need to remain at the same levels or likely higher to meet the demands of our community IT - need to review what is needed to be able to work remotely better as our computer system for staff is largely office based. This is an expensive area that will have challenges for all NGO providers.,0.06669501133786847,Neutral,0.520890022675737,More Subjective
64,priorities and concerns,"Key priorities has been supporting essential services during COVID. Now that the crisis is lessening, it will be about ensuring our advocacy at national level is a true representation of the diversity of the sector",0.15,Neutral,0.55,More Subjective
65,priorities and concerns,"Plans are being made by public and private entities for the recovery phase from COVID. These plans rely on community organizations to deliver services to vulnerable groups. Unfortunately, the community sector is not being engaged in developing these plans. Government organizations are still working in silos.",-0.25,Neutral,0.48541666666666666,More Objective
66,priorities and concerns,"Key priorities is to stabilise our funding so we can keep operating. Then it is to try and partner with others so we are not so vulnerable in the future. One of my concerns is how isolated the management are of some of the smaller community groups. We have all taken a lot of stress during COVID-19 and there is very little support for us to tap into professionally. The larger community organisations who have funding have been able to support their management team really well. For some of us, we are alone, isolated and carrying the stress on our own with nobody to turn to for peer support or help.",0.065625,Neutral,0.52,More Subjective
67,priorities and concerns,Getting everything up & running again. Sorting out specific literacy with grant obtained. Funding accountabilities and applications.,0.0,Neutral,0.125,More Objective
68,priorities and concerns,"Funding after September, increased isolation for clients in the justice system, stress on women in this situation with limited other services available.",0.06785714285714287,Neutral,0.3059523809523809,More Objective
69,priorities and concerns,"Priorities: - Engaging our funders and donors so they keep supporting us - Ensuring we can deliver our services to our beneficiaries (in new formats if necessary) - Supporting volunteers and staff - Sourcing additional revenue streams Concerns: - Uncertainty about the future, particularly in relation to funding. We don't know how big the financial ramifications will be, or how long they will last so are budgeting for different scenarios. Also with funding a lot of the COVID-19 response funding has been for those immediate response services, so we haven't been eligible for most of those, and are still reliant mainly on our traditional funding routes, plus devising different opportunities of our own for more fundraising.",0.1622053872053872,Neutral,0.4423821548821548,More Objective
70,priorities and concerns,The wide ranging impact across all sectors and fundraising opportunities.,-0.1,Neutral,0.4,More Objective
71,priorities and concerns,"We are thinking of closing our branch however due to the financial hardship some people may find themselves in post COVID-19 our services may be needed more than ever. There again, the funding will be less and therefore what our branch supply may not be able to be purchased.",0.14166666666666666,Neutral,0.31333333333333335,More Objective
72,priorities and concerns,Funding - viability,0.0,Neutral,0.0,More Objective
73,priorities and concerns,Is it worth even attempting to restart? How long will it be difficult to be together?,-0.08333333333333333,Neutral,0.5,More Subjective
74,priorities and concerns,Generally BAU with two organisations Some possible staff loss a concern Shakeup made us focus on mission,0.02500000000000001,Neutral,0.75,More Subjective
75,priorities and concerns,Once wage subsidies have gone - the need for budgeting services and not having the staff resources to deliver,0.0,Neutral,0.0,More Objective
76,priorities and concerns,Key concerns are keeping our elderly volunteers safe and healthy.,0.3333333333333333,Neutral,0.6666666666666666,More Subjective
77,priorities and concerns,on going viability,0.0,Neutral,0.0,More Objective
78,priorities and concerns,"How to remain viable as an organisation and meet our financial commitments, Eg rates, power and monies to provide safe health requirements.",0.25,Neutral,0.25,More Objective
79,priorities and concerns,Being able to protect the vulnerable among our students while continuing to grow our base,-0.26666666666666666,Neutral,0.7083333333333334,More Subjective
80,priorities and concerns,Our key priority is to restructure our business to reduce operating costs in response to significantly decreased revenue,-0.2,Neutral,0.85,More Subjective
81,priorities and concerns,Key Priorities - keeping programme partners engaged and motivated Concerns - funding; long-term shifts in protocols around events and large gatherings,0.10714285714285714,Neutral,0.7142857142857143,More Subjective
82,priorities and concerns,A high percentage of our income is funding received from organisations such as Pub Charity and a reliance on gaming machines. The concern is that we wont know the COVID-effect or result until applications are submitted.,0.08,Neutral,0.52,More Subjective
83,priorities and concerns,A lack of flexibility and time to engage with project proposals and management planning issues. We're a small entity trying to develop infrastructure for the local community and it's a real struggle to engage efficiently or get good outcomes from the likes of government or regional council.,0.16249999999999998,Neutral,0.32500000000000007,More Objective
84,priorities and concerns,"Our funder does not appear to have any flexibility in demanding we still produce the same outcomes, although we were ahead of our milestone requirements and had already fulfilled ahead of target, this was not recognised",0.0,Neutral,0.125,More Objective
85,priorities and concerns,Uncertainty around grant funding and sponsorship in 2021.,0.0,Neutral,0.0,More Objective
86,priorities and concerns,How to stay afloat until the large public events we are a part of are able to re open,0.14285714285714285,Neutral,0.34404761904761905,More Objective
87,priorities and concerns,messaging for older people. loneliness for older people,0.16666666666666666,Neutral,0.3333333333333333,More Objective
88,priorities and concerns,Nil,0.0,Neutral,0.0,More Objective
89,priorities and concerns,Targeted COVID-19 funds appear to be by invitation only and/ or don't cover any core operational costs,0.0,Neutral,1.0,More Subjective
90,priorities and concerns,Tax returns and getting funds back from travel agents,0.0,Neutral,0.0,More Objective
91,priorities and concerns,Just making the right decisions in a fast moving environment. So we don't invest resources into the wrong area. Medium term planning feels like more guesswork than usual. Everyone is looking for help from us so this has increased workload in this area.,0.04714285714285714,Neutral,0.5571428571428572,More Subjective
92,priorities and concerns,"Poverty in families and trauma in young people, loss of income for a new group of poor, ability to provide food for those in need",-0.05454545454545456,Neutral,0.48484848484848486,More Objective
93,priorities and concerns,"Concerns: Gap created by pause in gaming trust decisions which may mean even more applicants for other funders. The ongoing, un-budgeted costs of maintaining an online presence via zoom etc. Supporting work at home for staff e.g. increased data, heating, power. We feel that it's great for people to have options to WFH and it has worked well, but they are incurring extra costs to work for us especially as winter is here. Another unbudgeted cost which overlaps with us having an office lease. Priorities:- Making sure none of our clients fall through the gaps/off the radar. They can be quite transient and this presented some challenges during L4/3 in terms of keeping in touch. A time investment is needed to make sure we can keep them motivated to participate/complete programmes at the moment",0.2347222222222222,Neutral,0.6044753086419754,More Subjective
94,priorities and concerns,awaiting level 1 so we can offer services,0.0,Neutral,0.0,More Objective
95,priorities and concerns,Funding is our key concern. We have 3 key funders that we are waiting to hear from regarding our next 12 months funding.,0.0,Neutral,0.6666666666666666,More Subjective
96,priorities and concerns,"funds from granters are being repurposed If we approach our corporate sponsors now, the reaction will be to sever our relationships, so deferring the conversation for a few months in hope/anticipation they are seeing their businesses working again and can see the value in sponsorship",-0.1,Neutral,0.05,More Objective
97,priorities and concerns,Sustainability and funding.,0.0,Neutral,0.0,More Objective
98,priorities and concerns,Funding and having the ability to work with groups of people,0.0,Neutral,0.0,More Objective
99,priorities and concerns,"As a Club of mostly elderly women, we have been unable to do any volunteer work at all. We have kept in touch with each other by phone and emails.",-0.041666666666666664,Neutral,0.4583333333333333,More Objective
100,priorities and concerns,Able to keep in touch with individuals and families in need,0.5,Positive,0.625,More Subjective
101,priorities and concerns,More thinking in the Health and Safety aspect with running our sport safely,0.5,Positive,0.5,More Subjective
102,priorities and concerns,"Due to the decline in economy and availability of venues we have to postpone our events. As we rely on volunteers only, we may need to have pay volunteers to initiate work in the project.",-0.0625,Neutral,0.6875,More Subjective
103,priorities and concerns,"COVID-19 has been a big learning curve and we have been flying by the seat of our pants. Our main priority is to meet the needs of our clients and community to ensure that their welfare needs are met. We are still operating in this way and this is our key priority. We have expanded services such as our legal clinics and JP services, along with providing specialist employment and tenancy advocacy, where and when required. Have worked with District Council to establish the community hub.",0.07333333333333333,Neutral,0.42666666666666664,More Objective
104,priorities and concerns,Less revenue to support projects,-0.16666666666666666,Neutral,0.06666666666666667,More Objective
105,priorities and concerns,"We are still trying to work through how we will deliver our core business with the reduced and changed environment. We are having to think differently and completely change our strategic plan, and trying to figure out how to do that and remain focused on our core purpose. The option for development of an alternative teaching programme has higher risk associated, so our current focus must be on identifying and mitigating the risk",0.0875,Neutral,0.475,More Objective
106,priorities and concerns,Need to increase people / community led development approach and help foster innovation and solutions with the people experiencing the challenges. This will change the nature and form of our organisation. The classical charitable and funding approaches will not encourage the systems change we need to help grow well-being in local communities. Need a larger focus on learning and adaptive / agile responses,0.22000000000000003,Neutral,0.41,More Objective
107,priorities and concerns,Getting money in to pay basic operating costs that hasn't been coming in due to closed doors.,-0.075,Neutral,0.19999999999999998,More Objective
108,priorities and concerns,"While we are predicting a small increase in our income for the coming year, these predictions are based on a number of assumptions being realised. We have a reliance on community support (40% annually of total income) from fundraising and retail (second hand shops).",-0.08333333333333333,Neutral,0.3833333333333333,More Objective
109,priorities and concerns,Loss of grant income for things that were already in progress and can't be stopped. Maintaining and supporting our staff. Meeting the needs of the community groups we support.,0.25,Neutral,0.25,More Objective
110,priorities and concerns,Building a stronger volunteer support group for the organisation and redefining the volunteer role,0.0,Neutral,0.0,More Objective
111,priorities and concerns,Its impossible to predict how accessible funding will be in the future. It was quite secure until COVID.,0.027083333333333348,Neutral,0.525,More Subjective
112,priorities and concerns,Supporting the community through the next period of high unemployment and crisis in terms of food and other needs as winter sets in.,0.07125000000000001,Neutral,0.29125,More Objective
113,priorities and concerns,What happens next. Concerns that migrants here on work and other temporary visas will fall through the cracks as there is no intent or good will by government to the plight of these people living in and contributing to our society.,0.19166666666666665,Neutral,0.325,More Objective
114,priorities and concerns,meeting the needs of the learners and our ability to return to face 2 face safely. Securing new funding to expand the service to those who have been disadvantaged during isolation due to lack of digital literacy,0.1278409090909091,Neutral,0.33238636363636365,More Objective
115,priorities and concerns,Key priority is around programme development + finding the right team + adapting strategies as Government funding priorities change,0.14285714285714285,Neutral,0.7678571428571428,More Subjective
116,priorities and concerns,"Providing services to young people post COVID 19 that meet their heightened need for support in the areas of well-being, resilience, and self confidence. Looking at ways to create opportunities that are responsive and affordable. Continuing to build and strengthen our funding relationships and brand presence. Advocating for our sector in government.",0.1,Neutral,0.4,More Objective
117,priorities and concerns,"Being able to offer our services again to those that need it. Many people are at home/residences and are missing the social, physical and intellectual stimulus",0.18888888888888888,Neutral,0.2974206349206349,More Objective
118,priorities and concerns,Lack of support from public bodies,0.0,Neutral,0.06666666666666667,More Objective
119,priorities and concerns,Survival long term in case our significant funder is impacted by economic recession,0.17500000000000002,Neutral,0.49166666666666664,More Objective
120,priorities and concerns,"There are concerns around perceptions of the value of arts and what that will mean for ongoing and sustainable funding for the broader arts community. It is interest to reflect on how so many people from all facets of our communities have turned to arts for comfort, entertainment, relaxation, and sense of identity throughout this time. Arts is truly a powerful coping mechanism for humanity, and as such they are vitally essential for well-being - but the ephemeral nature of arts experiences can often be hard to clearly articulate.",0.042261904761904764,Neutral,0.5589285714285713,More Subjective
121,priorities and concerns,"Our organisation relies heavily on revenue from gaming machine trusts. We were disappointed that government did not step in to ensure gaming machine trusts could continue to generate grants whilst their revenue was disrupted. We are concerned that the impacts of COVID-19 on grant funders' ability to sustain normal levels of grant-making will continue beyond the lockdown, with significant impacts on community organisations small and large.",-0.07678571428571428,Neutral,0.6005952380952381,More Subjective
122,priorities and concerns,Ensuring that we make some change to the status quo,0.0,Neutral,0.0,More Objective
123,priorities and concerns,Economic downturn due to COVID 19 may reduce migrants and refugees employment. Former refugees who are already struggling with language barrier may not be employed which will affect their social and mental well-being. Our priority is to advocate and support them to reduce the adverse impact of COVID 19.,0.0016666666666666663,Neutral,0.1683333333333333,More Objective
124,priorities and concerns,People being too scared to attend shows,0.0,Neutral,0.0,More Objective
125,priorities and concerns,As per previous.,-0.16666666666666666,Neutral,0.16666666666666666,More Objective
126,priorities and concerns,Advice for older people with frail health - will they be advised or prefer not to participate in social groups. Also inequity in access to technology - related to both disability and socio-economic factors.,0.06666666666666667,Neutral,0.26666666666666666,More Objective
127,priorities and concerns,Being nimble enough to change services provision and changes to income generation opportunities and challenges,0.0,Neutral,0.5,More Subjective
128,priorities and concerns,Losing competitors due to caution on how much you spend on organisation membership and competition entry fees,0.037500000000000006,Neutral,0.2875,More Objective
129,priorities and concerns,Ensuring our investments give us adequate returns,0.3333333333333333,Neutral,0.3333333333333333,More Objective
130,priorities and concerns,#NAME?,0.0,Neutral,0.0,More Objective
131,priorities and concerns,Will funding be available ongoing.,0.4,Positive,0.4,More Objective
132,priorities and concerns,"Keeping those we care for or service safe, changing service delivery to mitigate risk of infection and keeping community meal service safe - perception is reality if organisation had any 'infection' service to community clients jeopardised would be near impossible to rebuild trust and safety of service - to ensure service remains safe and available to community a new strict regime and facilities upgrade underway to ensure and 'separation' and food safety.",0.20995670995670995,Neutral,0.5363636363636364,More Subjective
133,priorities and concerns,"Key priority is to get the disabled back to work and being part of our community, it is vital for their well-being to be part of day to day running of the nursery",-0.025,Neutral,0.42500000000000004,More Objective
134,priorities and concerns,"Capitalise on the opportunities this situation has created, reorganisation internally but also in relationship to government",0.0,Neutral,0.0,More Objective
135,priorities and concerns,I'm the main worker on our1st environmental project. I don't get paid for it so COVID forced me to stop and from going on holiday that's all really.,0.02222222222222221,Neutral,0.24444444444444446,More Objective
136,priorities and concerns,Just getting our youth members back in hall under our new normal,0.09545454545454546,Neutral,0.36818181818181817,More Objective
137,priorities and concerns,"Priorities: - Looking after our people, supporters and stakeholders - Generating income - Managing our communications - Delivering our services Concerns: - Income forward path - Mental health for team members - Supporter attrition",-0.1,Neutral,0.2,More Objective
138,priorities and concerns,Pre-COVID desire to improve quality and range of products within sector has been negatively impacted,-0.3,Neutral,0.4,More Objective
139,priorities and concerns,Our main focus has been on coming up with a new business model that will work in the new hospitality environment. This has meant letting go of senor management and adjusting some of our community program delivery and leadership,0.14646464646464644,Neutral,0.41414141414141414,More Objective
140,priorities and concerns,Key priorities: Ensuring all of our clients/members are supported throughout this period of instability; putting measures in place in order to return as soon as possible to nearly normal. Concern: some services e.g. shuttles no longer available to our clients as their service don't have enough volunteers to continue the service.,0.11000000000000001,Neutral,0.71,More Subjective
141,priorities and concerns,getting support in the future.,0.0,Neutral,0.125,More Objective
142,priorities and concerns,"Being able to continue to provide important services while living with uncertainties around funding, concerns about our ability to generate some income from some of the activities we provide when all around us people are struggling financially, the growing demand on funders given rising need and the expectation of some funders that you will generate some income through your own efforts. Hard when you work in a very marginalised community.",0.2347222222222222,Neutral,0.5777777777777777,More Subjective
143,priorities and concerns,uncertainty in funding and government direction for alignment.,0.0,Neutral,0.0,More Objective
144,priorities and concerns,"Concerns from COVID-19 response:- ● No Computer, No Internet, No Mobile Phone, No Online Banking, No Telephone Banking, No PayWave Card, No Credit Card. This is a reality for a number of community members in our community. This meant many vulnerable were excluded from getting the help or support they needed quickly. ● Concern at no support from a large Council run Community Hub that closed and put in no support mechanism for their vulnerable community, of which our small run organisations were contacted to help. ● Vulnerable community members who previously were independent, but due to health issues needed to stay in self-isolation and have no access to the above technology. This lack of technology directly affected their ability to take control of their own grocery/pharmacy shopping. ● Volunteer having to pay for groceries as vulnerable without online access/telephone banking, credit card and did not want to give eftpos card and PIN. Volunteer is waiting for reimbursement of over $500. ● Risk/Trust of giving Volunteer Eftpos card and PIN number to pay for groceries.",-0.059603174603174616,Neutral,0.40634920634920635,More Objective
145,priorities and concerns,To renovate our building for our Under2s,0.0,Neutral,0.0,More Objective
146,priorities and concerns,Making sure we and our users are up to date with information and providing a safe environment is number 1 priority. Working to restart groups is #2 and difficult when the groups see only part of the picture eg - number of participants up to 100 but social distancing means we can only accept 50,0.08888888888888889,Neutral,0.7425925925925926,More Subjective
147,priorities and concerns,"With business confidence low and unemployment increasing, we are concerned with our ability to gap fund through sponsorship & donations. Our overall priority is retaining our high performing and dedicated staff who are new and were making significant inroads into community engagement and support before lockdown, and struggling along within and since.",0.13427272727272727,Neutral,0.4339090909090909,More Objective
148,priorities and concerns,We usually rely on animal donations as fundraising and farmers are needing to keep stock for themselves but we will find other fundraising opportunities.,-0.1875,Neutral,0.3125,More Objective
149,priorities and concerns,"As we receive most of our funding from grants we are extremely concerned about our ability to receive funding going forward. Many funders are currently not accepting applications. Our organisation receives no government funding. This year we celebrate 20 years as a registered charity and 25 years as a parent led support and information group for individuals, parents, whanau and communities affected by a genetic condition. We are the only organisation in NZ doing this work.",0.175,Neutral,0.6799999999999999,More Subjective
150,priorities and concerns,As a start up with little reserves our ability to raise funds is now severely affected. Our priority is to re-frame our project to suit the new way of working and keeping the doors open,-0.017045454545454548,Neutral,0.48484848484848486,More Objective
151,priorities and concerns,"We received financial support from wider community over past year since mosque shootings but increasing need now, esp for many migrants and some victims too. Huge extra workload burden for our ten volunteer trustees to administer, quite overwhelming as we are all busy people with full time jobs as well. Our Muslim community is still suffering from shooting impacts so COVID-19 adds extra layer of stress",0.16,Neutral,0.37,More Objective
152,priorities and concerns,new strategies to deal with financial situation,0.06818181818181818,Neutral,0.22727272727272727,More Objective
153,priorities and concerns,Funding!,0.0,Neutral,0.0,More Objective
154,priorities and concerns,"Increasing membership, patronage and cashflow.",0.0,Neutral,0.0,More Objective
155,priorities and concerns,Financial sustainability,0.0,Neutral,0.0,More Objective
156,priorities and concerns,Financial sustainability for the future given the reduction of funding opportunities along with corporate partnerships own business changes which may put stress on the continuation of our contracts.,0.15,Neutral,0.28125,More Objective
157,priorities and concerns,Getting members back into the club-rooms so our turnover can return to normal,0.075,Neutral,0.32499999999999996,More Objective
158,priorities and concerns,"General economic downtown leading to less extra curricular activities / eg less camps / outdoor education opportunities, fewer Sports / Arts / cultural opportunities for children.",0.002777777777777782,Neutral,0.1722222222222222,More Objective
159,priorities and concerns,Maintain and remain connecting with families and refer families who need help to appropriate service provider,0.5,Positive,0.5,More Subjective
160,priorities and concerns,"Our key priority is to hold our AGM which would normally have been held in May which we now hope to hold in July. This is when our subscription rate is set and fees requested. Our membership is mainly elderly and we have not been having our usual monthly meeting since March so we are very concerned that we will have a large drop off of membership. Our main income is from subs, door fees and raffles and a reduction in membership is going to be a real issue. At the same time we are loosing over half our committee at the AGM, partially because of the COVID-19 crisis.",0.052813852813852806,Neutral,0.3806277056277056,More Objective
161,priorities and concerns,A key priority is getting much better at communicating the benefits of the work we do (waste minimisation) within the new context. We will be talking a lot more about job creation and local economic development than we have been for the last few years.,0.10404040404040403,Neutral,0.3134680134680135,More Objective
162,priorities and concerns,Collective collaboration - everyone is in it for the putea and what they can get to benefit themselves rather than focusing on working together.,0.0,Neutral,0.0,More Objective
163,priorities and concerns,Developing a mixed model of operating- on line and face to face,0.0,Neutral,0.25,More Objective
